second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	49999400.00	0.00	0.00	0.00	42085176.00	42065936.00	0.00	0.00	
3	49999672.00	0.00	0.00	0.00	44243672.00	44218764.00	0.00	0.00	
4	50000216.00	0.00	0.00	0.00	45345476.00	45323816.00	0.00	0.00	
5	49998332.00	0.00	0.00	0.00	46070980.00	46048248.00	0.00	0.00	
6	50000328.00	0.00	0.00	0.00	46579704.00	46557768.00	0.00	0.00	
7	49195304.00	0.00	0.00	0.00	46326492.00	46314504.00	0.00	0.00	
8	48953096.00	0.00	0.00	0.00	46587188.00	46554588.00	0.00	0.00	
9	49445664.00	0.00	0.00	0.00	47133024.00	47104964.00	0.00	0.00	
10	49999120.00	0.00	0.00	0.00	47765684.00	47730776.00	0.00	0.00	
11	49999504.00	0.00	0.00	0.00	47886924.00	47852024.00	0.00	0.00	
12	50000196.00	0.00	0.00	0.00	47955912.00	47915312.00	0.00	0.00	
13	50000040.00	0.00	0.00	0.00	47941944.00	47897124.00	0.00	0.00	
14	50000344.00	0.00	0.00	0.00	48004712.00	47961756.00	0.00	0.00	
15	49999376.00	0.00	0.00	0.00	48007840.00	47961648.00	0.00	0.00	
16	50000852.00	0.00	0.00	0.00	48004740.00	47960536.00	0.00	0.00	
17	49999096.00	0.00	0.00	0.00	47999924.00	47952160.00	0.00	0.00	
18	50000340.00	0.00	0.00	0.00	48017944.00	47972848.00	0.00	0.00	
19	49999596.00	0.00	0.00	0.00	48004644.00	47958856.00	0.00	0.00	
20	50000016.00	0.00	0.00	0.00	48026812.00	47974068.00	0.00	0.00	
21	49907368.00	0.00	0.00	0.00	47907316.00	47860392.00	0.00	0.00	
22	49315004.00	0.00	0.00	0.00	47340920.00	47293684.00	0.00	0.00	
23	49320336.00	0.00	0.00	0.00	47316848.00	47279328.00	0.00	0.00	
24	49315344.00	0.00	0.00	0.00	47336108.00	47282768.00	0.00	0.00	
25	49715060.00	0.00	0.00	0.00	47679796.00	47631076.00	0.00	0.00	
26	50000580.00	0.00	0.00	0.00	47855824.00	47816952.00	0.00	0.00	
27	50000048.00	0.00	0.00	0.00	47798508.00	47763216.00	0.00	0.00	
