second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	62399808.00	0.00	0.00	0.00	17922004.00	17921986.00	0.00	0.00	
3	54780344.00	0.00	0.00	0.00	36855736.00	36854384.00	0.00	0.00	
4	52127580.00	0.00	0.00	0.00	41450584.00	41450448.00	0.00	0.00	
5	52086584.00	0.00	0.00	0.00	42933940.00	42933936.00	0.00	0.00	
6	49777336.00	0.00	0.00	0.00	42153960.00	42153892.00	0.00	0.00	
7	50562648.00	0.00	0.00	0.00	42949072.00	42949040.00	0.00	0.00	
8	48206204.00	0.00	0.00	0.00	41666864.00	41666816.00	0.00	0.00	
9	48008260.00	0.00	0.00	0.00	41647964.00	41647952.00	0.00	0.00	
10	48942296.00	0.00	0.00	0.00	42298128.00	42298112.00	0.00	0.00	
11	50584508.00	0.00	0.00	0.00	43537112.00	43537096.00	0.00	0.00	
12	52587396.00	0.00	0.00	0.00	44175504.00	44175464.00	0.00	0.00	
13	52523448.00	0.00	0.00	0.00	44193452.00	44193424.00	0.00	0.00	
14	52464776.00	0.00	0.00	0.00	44245492.00	44245500.00	0.00	0.00	
15	52413492.00	0.00	0.00	0.00	44252584.00	44252560.00	0.00	0.00	
16	52226576.00	0.00	0.00	0.00	44210452.00	44210456.00	0.00	0.00	
17	52469912.00	0.00	0.00	0.00	44232652.00	44232620.00	0.00	0.00	
18	52354636.00	0.00	0.00	0.00	44245232.00	44245240.00	0.00	0.00	
19	52377792.00	0.00	0.00	0.00	44239320.00	44239312.00	0.00	0.00	
20	52369884.00	0.00	0.00	0.00	44243264.00	44243236.00	0.00	0.00	
21	52691600.00	0.00	0.00	0.00	44240176.00	44240140.00	0.00	0.00	
22	52187608.00	0.00	0.00	0.00	44245732.00	44245736.00	0.00	0.00	
23	52660520.00	0.00	0.00	0.00	44259856.00	44259832.00	0.00	0.00	
24	52281440.00	0.00	0.00	0.00	44238144.00	44238144.00	0.00	0.00	
25	52627240.00	0.00	0.00	0.00	44204428.00	44204408.00	0.00	0.00	
26	52428860.00	0.00	0.00	0.00	44216888.00	44216844.00	0.00	0.00	
27	52198912.00	0.00	0.00	0.00	44221220.00	44221212.00	0.00	0.00	
28	51656744.00	0.00	0.00	0.00	43862452.00	43862428.00	0.00	0.00	
29	52209736.00	0.00	0.00	0.00	44228912.00	44228928.00	0.00	0.00	
30	52355440.00	0.00	0.00	0.00	44247880.00	44247864.00	0.00	0.00	
