second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	5279641.00	0.00	0.00	0.00	4447128.00	4447065.00	0.00	0.00	
3	5251059.00	0.00	0.00	0.00	4449787.00	4449809.00	0.00	0.00	
4	5234133.00	0.00	0.00	0.00	4446554.00	4446574.00	0.00	0.00	
5	5215165.00	0.00	0.00	0.00	4448499.00	4448495.00	0.00	0.00	
6	5206979.00	0.00	0.00	0.00	4445516.00	4445486.00	0.00	0.00	
7	5214266.00	0.00	0.00	0.00	4448804.00	4448828.00	0.00	0.00	
8	5210334.00	0.00	0.00	0.00	4448259.00	4448189.00	0.00	0.00	
9	5200824.00	0.00	0.00	0.00	4453099.00	4453163.00	0.00	0.00	
10	5270511.00	0.00	0.00	0.00	4452214.00	4452216.00	0.00	0.00	
11	5268953.00	0.00	0.00	0.00	4447423.00	4447412.00	0.00	0.00	
12	5269527.00	0.00	0.00	0.00	4448983.00	4448959.00	0.00	0.00	
13	5229795.00	0.00	0.00	0.00	4444748.00	4444741.00	0.00	0.00	
14	5237649.00	0.00	0.00	0.00	4448556.00	4448571.00	0.00	0.00	
15	5233601.00	0.00	0.00	0.00	4448250.00	4448234.00	0.00	0.00	
16	5229936.00	0.00	0.00	0.00	4451604.00	4451606.00	0.00	0.00	
17	5227966.00	0.00	0.00	0.00	4450076.00	4450064.00	0.00	0.00	
18	5212541.00	0.00	0.00	0.00	4447031.00	4446970.00	0.00	0.00	
19	5213604.00	0.00	0.00	0.00	4450895.00	4450938.00	0.00	0.00	
20	5264466.00	0.00	0.00	0.00	4449699.00	4449683.00	0.00	0.00	
21	5254072.00	0.00	0.00	0.00	4451248.00	4451233.00	0.00	0.00	
22	5190387.00	0.00	0.00	0.00	4445154.00	4445184.00	0.00	0.00	
23	5191457.00	0.00	0.00	0.00	4445828.00	4445800.00	0.00	0.00	
24	5236635.00	0.00	0.00	0.00	4450555.00	4450517.00	0.00	0.00	
25	5232097.00	0.00	0.00	0.00	4449736.00	4449718.00	0.00	0.00	
26	5265824.00	0.00	0.00	0.00	4449244.00	4449275.00	0.00	0.00	
27	5297588.00	0.00	0.00	0.00	4448132.00	4448120.00	0.00	0.00	
28	5286939.00	0.00	0.00	0.00	4448185.00	4448186.00	0.00	0.00	
29	5273705.00	0.00	0.00	0.00	4446154.00	4446127.00	0.00	0.00	
30	5245833.00	0.00	0.00	0.00	4447704.00	4447700.00	0.00	0.00	
31	5237132.00	0.00	0.00	0.00	4445764.00	4445755.00	0.00	0.00	
32	5235072.00	0.00	0.00	0.00	4449570.00	4449539.00	0.00	0.00	
33	5203180.00	0.00	0.00	0.00	4450115.00	4450166.00	0.00	0.00	
34	5207420.00	0.00	0.00	0.00	4448947.00	4448915.00	0.00	0.00	
35	5193929.00	0.00	0.00	0.00	4450039.00	4450052.00	0.00	0.00	
36	5221993.00	0.00	0.00	0.00	4446510.00	4446470.00	0.00	0.00	
37	5262797.00	0.00	0.00	0.00	4449900.00	4449943.00	0.00	0.00	
