second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	5176147.00	0.00	0.00	0.00	4465579.00	4465538.00	0.00	0.00	
3	5246710.00	0.00	0.00	0.00	4468049.00	4468057.00	0.00	0.00	
4	5265587.00	0.00	0.00	0.00	4465209.00	4465238.00	0.00	0.00	
5	5290442.00	0.00	0.00	0.00	4462509.00	4462488.00	0.00	0.00	
6	5293745.00	0.00	0.00	0.00	4462387.00	4462342.00	0.00	0.00	
7	5284334.00	0.00	0.00	0.00	4464567.00	4464595.00	0.00	0.00	
8	5260025.00	0.00	0.00	0.00	4460585.00	4460587.00	0.00	0.00	
9	5235498.00	0.00	0.00	0.00	4462395.00	4462386.00	0.00	0.00	
10	5213295.00	0.00	0.00	0.00	4465086.00	4465108.00	0.00	0.00	
11	5250701.00	0.00	0.00	0.00	4468249.00	4468195.00	0.00	0.00	
12	5241247.00	0.00	0.00	0.00	4462615.00	4462630.00	0.00	0.00	
13	5209707.00	0.00	0.00	0.00	4465977.00	4465988.00	0.00	0.00	
14	5249424.00	0.00	0.00	0.00	4465281.00	4465261.00	0.00	0.00	
15	5242881.00	0.00	0.00	0.00	4463776.00	4463775.00	0.00	0.00	
16	5269639.00	0.00	0.00	0.00	4464696.00	4464713.00	0.00	0.00	
17	5244150.00	0.00	0.00	0.00	4459215.00	4459193.00	0.00	0.00	
18	5238718.00	0.00	0.00	0.00	4458601.00	4458582.00	0.00	0.00	
19	5192052.00	0.00	0.00	0.00	4462230.00	4462242.00	0.00	0.00	
20	5231530.00	0.00	0.00	0.00	4460965.00	4460951.00	0.00	0.00	
21	5265591.00	0.00	0.00	0.00	4464454.00	4464451.00	0.00	0.00	
22	6027810.00	0.00	0.00	0.00	2085659.00	2085383.00	0.00	0.00	
23	5334961.00	0.00	0.00	0.00	3514012.00	3513384.00	0.00	0.00	
24	5179976.00	0.00	0.00	0.00	3942532.00	3942351.00	0.00	0.00	
25	5115281.00	0.00	0.00	0.00	4130911.00	4130763.00	0.00	0.00	
26	5084942.00	0.00	0.00	0.00	4250771.00	4250619.00	0.00	0.00	
27	5064781.00	0.00	0.00	0.00	4255730.00	4255740.00	0.00	0.00	
28	5043656.00	0.00	0.00	0.00	4308449.00	4308345.00	0.00	0.00	
29	5005982.00	0.00	0.00	0.00	4376407.00	4376306.00	0.00	0.00	
30	5020286.00	0.00	0.00	0.00	4407549.00	4407423.00	0.00	0.00	
31	5047201.00	0.00	0.00	0.00	4418589.00	4418441.00	0.00	0.00	
32	5016900.00	0.00	0.00	0.00	4422047.00	4421999.00	0.00	0.00	
33	4999424.00	0.00	0.00	0.00	4420448.00	4420395.00	0.00	0.00	
34	4995224.00	0.00	0.00	0.00	4420496.00	4420367.00	0.00	0.00	
35	4999996.00	0.00	0.00	0.00	4424321.00	4424212.00	0.00	0.00	
36	4993214.00	0.00	0.00	0.00	4425664.00	4425619.00	0.00	0.00	
37	4982680.00	0.00	0.00	0.00	4428227.00	4428219.00	0.00	0.00	
38	4968436.00	0.00	0.00	0.00	4425425.00	4425361.00	0.00	0.00	
39	4959675.00	0.00	0.00	0.00	4429980.00	4429919.00	0.00	0.00	
40	4985581.00	0.00	0.00	0.00	4433727.00	4433643.00	0.00	0.00	
41	5015697.00	0.00	0.00	0.00	4440957.00	4440963.00	0.00	0.00	
42	5016664.00	0.00	0.00	0.00	4441405.00	4441311.00	0.00	0.00	
43	5005037.00	0.00	0.00	0.00	4439529.00	4439489.00	0.00	0.00	
44	5000439.00	0.00	0.00	0.00	4439795.00	4439727.00	0.00	0.00	
45	5004804.00	0.00	0.00	0.00	4444807.00	4444848.00	0.00	0.00	
46	5001176.00	0.00	0.00	0.00	4442590.00	4442523.00	0.00	0.00	
47	4994066.00	0.00	0.00	0.00	4442864.00	4442811.00	0.00	0.00	
48	4965426.00	0.00	0.00	0.00	4442508.00	4442496.00	0.00	0.00	
49	4972667.00	0.00	0.00	0.00	4442336.00	4442241.00	0.00	0.00	
50	5041874.00	0.00	0.00	0.00	4456502.00	4456453.00	0.00	0.00	
51	5042275.00	0.00	0.00	0.00	4459008.00	4459003.00	0.00	0.00	
52	5019772.00	0.00	0.00	0.00	4456502.00	4456482.00	0.00	0.00	
53	5019078.00	0.00	0.00	0.00	4457850.00	4457811.00	0.00	0.00	
54	5008634.00	0.00	0.00	0.00	4457034.00	4457038.00	0.00	0.00	
55	4989216.00	0.00	0.00	0.00	4450323.00	4450274.00	0.00	0.00	
56	4975499.00	0.00	0.00	0.00	4448311.00	4448316.00	0.00	0.00	
57	4977782.00	0.00	0.00	0.00	4448809.00	4448804.00	0.00	0.00	
58	4976651.00	0.00	0.00	0.00	4449222.00	4449223.00	0.00	0.00	
59	4969099.00	0.00	0.00	0.00	4450430.00	4450368.00	0.00	0.00	
60	5008971.00	0.00	0.00	0.00	4457898.00	4457876.00	0.00	0.00	
61	5000307.00	0.00	0.00	0.00	4455079.00	4455083.00	0.00	0.00	
62	4996411.00	0.00	0.00	0.00	4454929.00	4454895.00	0.00	0.00	
63	4967600.00	0.00	0.00	0.00	4451061.00	4451066.00	0.00	0.00	
64	4972406.00	0.00	0.00	0.00	4452548.00	4452513.00	0.00	0.00	
65	4959671.00	0.00	0.00	0.00	4449984.00	4449994.00	0.00	0.00	
66	4951724.00	0.00	0.00	0.00	4448165.00	4448131.00	0.00	0.00	
67	4974526.00	0.00	0.00	0.00	4448566.00	4448568.00	0.00	0.00	
68	4990087.00	0.00	0.00	0.00	4451229.00	4451185.00	0.00	0.00	
69	5004063.00	0.00	0.00	0.00	4459226.00	4459255.00	0.00	0.00	
70	4992660.00	0.00	0.00	0.00	4458648.00	4458604.00	0.00	0.00	
71	5048882.00	0.00	0.00	0.00	4462574.00	4462582.00	0.00	0.00	
72	6046646.00	0.00	0.00	0.00	2053156.00	2053156.00	0.00	0.00	
73	5536407.00	0.00	0.00	0.00	2999219.00	2998512.00	0.00	0.00	
74	5199626.00	0.00	0.00	0.00	3809422.00	3809116.00	0.00	0.00	
75	5109529.00	0.00	0.00	0.00	4066003.00	4065824.00	0.00	0.00	
76	5050426.00	0.00	0.00	0.00	4221258.00	4221131.00	0.00	0.00	
77	5029404.00	0.00	0.00	0.00	4266261.00	4266205.00	0.00	0.00	
78	5107874.00	0.00	0.00	0.00	4291284.00	4291212.00	0.00	0.00	
79	5109124.00	0.00	0.00	0.00	4384394.00	4384293.00	0.00	0.00	
80	5117725.00	0.00	0.00	0.00	4414346.00	4414241.00	0.00	0.00	
81	5100073.00	0.00	0.00	0.00	4421549.00	4421440.00	0.00	0.00	
82	5077155.00	0.00	0.00	0.00	4422797.00	4422751.00	0.00	0.00	
83	5053373.00	0.00	0.00	0.00	4426286.00	4426191.00	0.00	0.00	
84	5023660.00	0.00	0.00	0.00	4430824.00	4430762.00	0.00	0.00	
