second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	5209508.00	0.00	0.00	0.00	4435887.00	4435848.00	0.00	0.00	
3	5203302.00	0.00	0.00	0.00	4437281.00	4437300.00	0.00	0.00	
4	5220431.00	0.00	0.00	0.00	4434907.00	4434939.00	0.00	0.00	
5	5218977.00	0.00	0.00	0.00	4435084.00	4435076.00	0.00	0.00	
6	5223447.00	0.00	0.00	0.00	4434450.00	4434407.00	0.00	0.00	
7	5272072.00	0.00	0.00	0.00	4434301.00	4434327.00	0.00	0.00	
8	5291039.00	0.00	0.00	0.00	4434930.00	4434952.00	0.00	0.00	
9	5281625.00	0.00	0.00	0.00	4434106.00	4434092.00	0.00	0.00	
10	5260735.00	0.00	0.00	0.00	4435583.00	4435581.00	0.00	0.00	
11	5264657.00	0.00	0.00	0.00	4437443.00	4437447.00	0.00	0.00	
12	5251845.00	0.00	0.00	0.00	4434585.00	4434570.00	0.00	0.00	
13	5242584.00	0.00	0.00	0.00	4428904.00	4428927.00	0.00	0.00	
14	5231592.00	0.00	0.00	0.00	4432915.00	4432864.00	0.00	0.00	
15	5235099.00	0.00	0.00	0.00	4428643.00	4428671.00	0.00	0.00	
16	5241612.00	0.00	0.00	0.00	4430611.00	4430597.00	0.00	0.00	
17	5272942.00	0.00	0.00	0.00	4431784.00	4431800.00	0.00	0.00	
18	5295303.00	0.00	0.00	0.00	4438196.00	4438193.00	0.00	0.00	
19	5236822.00	0.00	0.00	0.00	4436531.00	4436539.00	0.00	0.00	
20	5231539.00	0.00	0.00	0.00	4435098.00	4435085.00	0.00	0.00	
21	5218783.00	0.00	0.00	0.00	4435501.00	4435506.00	0.00	0.00	
22	5821951.00	0.00	0.00	0.00	2141706.00	2141698.00	0.00	0.00	
23	5798997.00	0.00	0.00	0.00	2118756.00	2118680.00	0.00	0.00	
24	5772254.00	0.00	0.00	0.00	2119655.00	2119718.00	0.00	0.00	
25	5860160.00	0.00	0.00	0.00	2115930.00	2115911.00	0.00	0.00	
26	5873328.00	0.00	0.00	0.00	2117137.00	2117151.00	0.00	0.00	
27	5877487.00	0.00	0.00	0.00	2117337.00	2117354.00	0.00	0.00	
28	5858140.00	0.00	0.00	0.00	2116551.00	2116542.00	0.00	0.00	
29	5867269.00	0.00	0.00	0.00	2114400.00	2114413.00	0.00	0.00	
30	5904629.00	0.00	0.00	0.00	2115106.00	2115076.00	0.00	0.00	
31	5951468.00	0.00	0.00	0.00	2114355.00	2114375.00	0.00	0.00	
32	5930454.00	0.00	0.00	0.00	2115688.00	2115698.00	0.00	0.00	
33	5879836.00	0.00	0.00	0.00	2114928.00	2114912.00	0.00	0.00	
34	5899229.00	0.00	0.00	0.00	2115479.00	2115480.00	0.00	0.00	
35	5922719.00	0.00	0.00	0.00	2115982.00	2115997.00	0.00	0.00	
36	5908163.00	0.00	0.00	0.00	2119267.00	2119245.00	0.00	0.00	
37	5920164.00	0.00	0.00	0.00	2116807.00	2116829.00	0.00	0.00	
38	5982892.00	0.00	0.00	0.00	2117709.00	2117693.00	0.00	0.00	
39	5969930.00	0.00	0.00	0.00	2113210.00	2113201.00	0.00	0.00	
40	5993662.00	0.00	0.00	0.00	2037465.00	2037450.00	0.00	0.00	
41	5506004.00	0.00	0.00	0.00	2941133.00	2940311.00	0.00	0.00	
42	5125585.00	0.00	0.00	0.00	3890423.00	3890252.00	0.00	0.00	
43	5055615.00	0.00	0.00	0.00	4076758.00	4076694.00	0.00	0.00	
44	5036089.00	0.00	0.00	0.00	4196868.00	4196795.00	0.00	0.00	
45	5026658.00	0.00	0.00	0.00	4276046.00	4275961.00	0.00	0.00	
46	5025217.00	0.00	0.00	0.00	4337753.00	4337730.00	0.00	0.00	
47	5012921.00	0.00	0.00	0.00	4355728.00	4355669.00	0.00	0.00	
48	5081852.00	0.00	0.00	0.00	4372901.00	4372883.00	0.00	0.00	
