second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	49999428.00	0.00	0.00	0.00	41615312.00	41596176.00	0.00	0.00	
3	49999688.00	0.00	0.00	0.00	44058936.00	44028440.00	0.00	0.00	
4	49999952.00	0.00	0.00	0.00	45276624.00	45245712.00	0.00	0.00	
5	49986464.00	0.00	0.00	0.00	45952500.00	45914096.00	0.00	0.00	
6	50000056.00	0.00	0.00	0.00	46464280.00	46421148.00	0.00	0.00	
7	49999872.00	0.00	0.00	0.00	46738528.00	46694784.00	0.00	0.00	
8	49997816.00	0.00	0.00	0.00	46978180.00	46926504.00	0.00	0.00	
9	49885196.00	0.00	0.00	0.00	46970560.00	46919832.00	0.00	0.00	
10	49670868.00	0.00	0.00	0.00	47052912.00	47041244.00	0.00	0.00	
11	49413636.00	0.00	0.00	0.00	47194348.00	47171312.00	0.00	0.00	
12	48814924.00	0.00	0.00	0.00	46822032.00	46787032.00	0.00	0.00	
13	50000204.00	0.00	0.00	0.00	48019472.00	47986752.00	0.00	0.00	
14	49999640.00	0.00	0.00	0.00	48077128.00	48034980.00	0.00	0.00	
15	49986104.00	0.00	0.00	0.00	48059780.00	48025984.00	0.00	0.00	
16	49999380.00	0.00	0.00	0.00	48065764.00	48024856.00	0.00	0.00	
17	49999948.00	0.00	0.00	0.00	48094224.00	48059564.00	0.00	0.00	
18	49999596.00	0.00	0.00	0.00	48059768.00	48020244.00	0.00	0.00	
19	50000188.00	0.00	0.00	0.00	48107120.00	48070212.00	0.00	0.00	
20	50000056.00	0.00	0.00	0.00	48058752.00	48021880.00	0.00	0.00	
21	50000032.00	0.00	0.00	0.00	48105824.00	48066956.00	0.00	0.00	
22	49999724.00	0.00	0.00	0.00	48066240.00	48031628.00	0.00	0.00	
23	50000388.00	0.00	0.00	0.00	48106024.00	48064056.00	0.00	0.00	
24	49999636.00	0.00	0.00	0.00	48074756.00	48040500.00	0.00	0.00	
25	49376712.00	0.00	0.00	0.00	47476036.00	47430212.00	0.00	0.00	
26	49322088.00	0.00	0.00	0.00	47386240.00	47349376.00	0.00	0.00	
27	49323352.00	0.00	0.00	0.00	47334940.00	47290508.00	0.00	0.00	
28	49549248.00	0.00	0.00	0.00	47643512.00	47600800.00	0.00	0.00	
29	50000288.00	0.00	0.00	0.00	47960296.00	47918032.00	0.00	0.00	
30	50000256.00	0.00	0.00	0.00	48041464.00	47995556.00	0.00	0.00	
31	49999308.00	0.00	0.00	0.00	41534148.00	41531016.00	0.00	0.00	
32	49763720.00	0.00	0.00	0.00	47143056.00	47120264.00	0.00	0.00	
33	49856716.00	0.00	0.00	0.00	47681440.00	47650020.00	0.00	0.00	
34	49470136.00	0.00	0.00	0.00	47521532.00	47469924.00	0.00	0.00	
35	48364832.00	0.00	0.00	0.00	46441000.00	46402956.00	0.00	0.00	
36	48253176.00	0.00	0.00	0.00	46281040.00	46241000.00	0.00	0.00	
37	50000312.00	0.00	0.00	0.00	47963960.00	47925320.00	0.00	0.00	
38	50000072.00	0.00	0.00	0.00	47931448.00	47891924.00	0.00	0.00	
39	49999316.00	0.00	0.00	0.00	47989464.00	47948496.00	0.00	0.00	
40	50000432.00	0.00	0.00	0.00	47922792.00	47886940.00	0.00	0.00	
41	49999908.00	0.00	0.00	0.00	47991960.00	47947504.00	0.00	0.00	
42	50000076.00	0.00	0.00	0.00	47933964.00	47898064.00	0.00	0.00	
43	50000468.00	0.00	0.00	0.00	47979472.00	47935512.00	0.00	0.00	
44	49999672.00	0.00	0.00	0.00	47958644.00	47922164.00	0.00	0.00	
45	49984528.00	0.00	0.00	0.00	47946948.00	47905384.00	0.00	0.00	
46	50000220.00	0.00	0.00	0.00	47986120.00	47947408.00	0.00	0.00	
47	50000068.00	0.00	0.00	0.00	47945552.00	47906120.00	0.00	0.00	
48	49999784.00	0.00	0.00	0.00	48002676.00	47960852.00	0.00	0.00	
49	49999264.00	0.00	0.00	0.00	47931512.00	47895688.00	0.00	0.00	
50	50000016.00	0.00	0.00	0.00	48000308.00	47955660.00	0.00	0.00	
51	50000276.00	0.00	0.00	0.00	47951792.00	47914820.00	0.00	0.00	
52	49999816.00	0.00	0.00	0.00	47981488.00	47938328.00	0.00	0.00	
53	50000240.00	0.00	0.00	0.00	47981528.00	47943116.00	0.00	0.00	
54	49999624.00	0.00	0.00	0.00	47958776.00	47918104.00	0.00	0.00	
55	49983592.00	0.00	0.00	0.00	47988812.00	47948252.00	0.00	0.00	
56	49998928.00	0.00	0.00	0.00	47938448.00	47900516.00	0.00	0.00	
57	49309744.00	0.00	0.00	0.00	47349376.00	47309380.00	0.00	0.00	
58	48614664.00	0.00	0.00	0.00	46640464.00	46612100.00	0.00	0.00	
59	47637732.00	0.00	0.00	0.00	45836904.00	45815020.00	0.00	0.00	
60	47564072.00	0.00	0.00	0.00	45757352.00	45740892.00	0.00	0.00	
61	50000168.00	0.00	0.00	0.00	37224276.00	37221880.00	0.00	0.00	
62	50000036.00	0.00	0.00	0.00	47072576.00	47061468.00	0.00	0.00	
63	49999808.00	0.00	0.00	0.00	47664780.00	47646656.00	0.00	0.00	
64	49999392.00	0.00	0.00	0.00	48069468.00	48056044.00	0.00	0.00	
65	49984116.00	0.00	0.00	0.00	48297540.00	48294784.00	0.00	0.00	
66	49999256.00	0.00	0.00	0.00	48310688.00	48307988.00	0.00	0.00	
67	50000160.00	0.00	0.00	0.00	48311176.00	48309064.00	0.00	0.00	
68	50000464.00	0.00	0.00	0.00	48311248.00	48309476.00	0.00	0.00	
69	49998320.00	0.00	0.00	0.00	48309068.00	48307196.00	0.00	0.00	
70	49999948.00	0.00	0.00	0.00	48310964.00	48308692.00	0.00	0.00	
71	50000184.00	0.00	0.00	0.00	48310940.00	48308804.00	0.00	0.00	
72	49999688.00	0.00	0.00	0.00	48310308.00	48308192.00	0.00	0.00	
73	50000232.00	0.00	0.00	0.00	48311192.00	48309152.00	0.00	0.00	
74	50000172.00	0.00	0.00	0.00	48311024.00	48309072.00	0.00	0.00	
75	49984084.00	0.00	0.00	0.00	48298196.00	48296396.00	0.00	0.00	
76	49999996.00	0.00	0.00	0.00	48311064.00	48309032.00	0.00	0.00	
77	50000240.00	0.00	0.00	0.00	48310832.00	48308832.00	0.00	0.00	
78	49999500.00	0.00	0.00	0.00	48310780.00	48308720.00	0.00	0.00	
79	49999500.00	0.00	0.00	0.00	48310444.00	48308536.00	0.00	0.00	
80	49999896.00	0.00	0.00	0.00	48310800.00	48308784.00	0.00	0.00	
81	49318844.00	0.00	0.00	0.00	47647092.00	47636708.00	0.00	0.00	
82	49132516.00	0.00	0.00	0.00	47410864.00	47385056.00	0.00	0.00	
83	48429376.00	0.00	0.00	0.00	46619228.00	46602388.00	0.00	0.00	
84	48295492.00	0.00	0.00	0.00	46640012.00	46625760.00	0.00	0.00	
85	49984636.00	0.00	0.00	0.00	48296784.00	48285184.00	0.00	0.00	
86	50000224.00	0.00	0.00	0.00	48308384.00	48296120.00	0.00	0.00	
87	49999472.00	0.00	0.00	0.00	48309988.00	48298028.00	0.00	0.00	
88	50000180.00	0.00	0.00	0.00	48309344.00	48298200.00	0.00	0.00	
89	50000336.00	0.00	0.00	0.00	48308584.00	48298776.00	0.00	0.00	
90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
