second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	62355160.00	0.00	0.00	0.00	17966580.00	17966568.00	0.00	0.00	
3	62985648.00	0.00	0.00	0.00	17982498.00	17982508.00	0.00	0.00	
4	62690848.00	0.00	0.00	0.00	17961966.00	17961940.00	0.00	0.00	
5	63199264.00	0.00	0.00	0.00	17982060.00	17982084.00	0.00	0.00	
6	63004192.00	0.00	0.00	0.00	17971632.00	17971632.00	0.00	0.00	
7	63003264.00	0.00	0.00	0.00	17979344.00	17979344.00	0.00	0.00	
8	62816332.00	0.00	0.00	0.00	17991650.00	17991650.00	0.00	0.00	
9	62768352.00	0.00	0.00	0.00	17977812.00	17977808.00	0.00	0.00	
10	62513816.00	0.00	0.00	0.00	17984896.00	17984900.00	0.00	0.00	
11	56373396.00	0.00	0.00	0.00	24517412.00	24516212.00	0.00	0.00	
12	52912516.00	0.00	0.00	0.00	42930100.00	42929908.00	0.00	0.00	
13	52665540.00	0.00	0.00	0.00	43999484.00	43999404.00	0.00	0.00	
14	52405192.00	0.00	0.00	0.00	44209880.00	44209712.00	0.00	0.00	
15	52326160.00	0.00	0.00	0.00	44265252.00	44265008.00	0.00	0.00	
16	52264772.00	0.00	0.00	0.00	44268608.00	44268480.00	0.00	0.00	
17	52479684.00	0.00	0.00	0.00	44318296.00	44318188.00	0.00	0.00	
18	52631868.00	0.00	0.00	0.00	44298776.00	44298732.00	0.00	0.00	
19	52394624.00	0.00	0.00	0.00	44305456.00	44305392.00	0.00	0.00	
20	52385676.00	0.00	0.00	0.00	44299328.00	44299216.00	0.00	0.00	
21	52501676.00	0.00	0.00	0.00	44262940.00	44262948.00	0.00	0.00	
22	52433632.00	0.00	0.00	0.00	44287552.00	44287484.00	0.00	0.00	
23	52436920.00	0.00	0.00	0.00	44288632.00	44288616.00	0.00	0.00	
24	52630524.00	0.00	0.00	0.00	44293520.00	44293380.00	0.00	0.00	
25	52235428.00	0.00	0.00	0.00	44316772.00	44316680.00	0.00	0.00	
26	52317096.00	0.00	0.00	0.00	44296660.00	44296640.00	0.00	0.00	
27	52549964.00	0.00	0.00	0.00	44295216.00	44295100.00	0.00	0.00	
28	52513992.00	0.00	0.00	0.00	44297296.00	44297232.00	0.00	0.00	
29	52125020.00	0.00	0.00	0.00	44290384.00	44290320.00	0.00	0.00	
30	52344152.00	0.00	0.00	0.00	44286972.00	44286936.00	0.00	0.00	
31	52645648.00	0.00	0.00	0.00	44288916.00	44288884.00	0.00	0.00	
32	52639720.00	0.00	0.00	0.00	44293952.00	44293864.00	0.00	0.00	
33	52230992.00	0.00	0.00	0.00	44287592.00	44287536.00	0.00	0.00	
34	52527488.00	0.00	0.00	0.00	44283764.00	44283708.00	0.00	0.00	
35	52406224.00	0.00	0.00	0.00	44299616.00	44299592.00	0.00	0.00	
36	52520652.00	0.00	0.00	0.00	44299104.00	44299024.00	0.00	0.00	
37	52606644.00	0.00	0.00	0.00	44288992.00	44288920.00	0.00	0.00	
38	52360392.00	0.00	0.00	0.00	44294736.00	44294676.00	0.00	0.00	
39	52581392.00	0.00	0.00	0.00	44270840.00	44270792.00	0.00	0.00	
40	52374908.00	0.00	0.00	0.00	44274128.00	44274088.00	0.00	0.00	
41	52492016.00	0.00	0.00	0.00	44295532.00	44295452.00	0.00	0.00	
42	52414568.00	0.00	0.00	0.00	44289752.00	44289704.00	0.00	0.00	
43	52363360.00	0.00	0.00	0.00	44293292.00	44293184.00	0.00	0.00	
44	52527664.00	0.00	0.00	0.00	44297440.00	44297440.00	0.00	0.00	
45	52499976.00	0.00	0.00	0.00	44285948.00	44285908.00	0.00	0.00	
46	52208516.00	0.00	0.00	0.00	44291576.00	44291520.00	0.00	0.00	
47	52604484.00	0.00	0.00	0.00	44291640.00	44291604.00	0.00	0.00	
48	52513936.00	0.00	0.00	0.00	44291732.00	44291648.00	0.00	0.00	
49	52448216.00	0.00	0.00	0.00	44302680.00	44302668.00	0.00	0.00	
50	52605480.00	0.00	0.00	0.00	44311496.00	44311440.00	0.00	0.00	
51	52225640.00	0.00	0.00	0.00	38078060.00	38076780.00	0.00	0.00	
52	50292736.00	0.00	0.00	0.00	43965604.00	43965080.00	0.00	0.00	
53	50093236.00	0.00	0.00	0.00	44156600.00	44156232.00	0.00	0.00	
54	50061644.00	0.00	0.00	0.00	44196748.00	44196512.00	0.00	0.00	
55	49727652.00	0.00	0.00	0.00	44184556.00	44184420.00	0.00	0.00	
56	50043720.00	0.00	0.00	0.00	44252636.00	44252520.00	0.00	0.00	
57	49730216.00	0.00	0.00	0.00	44222580.00	44222496.00	0.00	0.00	
58	49777768.00	0.00	0.00	0.00	44244476.00	44244384.00	0.00	0.00	
59	49942824.00	0.00	0.00	0.00	44251928.00	44251904.00	0.00	0.00	
60	50068680.00	0.00	0.00	0.00	44263412.00	44263308.00	0.00	0.00	
61	49927892.00	0.00	0.00	0.00	44253060.00	44253020.00	0.00	0.00	
62	49783604.00	0.00	0.00	0.00	44213152.00	44213076.00	0.00	0.00	
63	50021424.00	0.00	0.00	0.00	44257176.00	44257052.00	0.00	0.00	
64	49892096.00	0.00	0.00	0.00	44254872.00	44254840.00	0.00	0.00	
65	49954560.00	0.00	0.00	0.00	44242052.00	44241940.00	0.00	0.00	
66	50006496.00	0.00	0.00	0.00	44239992.00	44239880.00	0.00	0.00	
67	49823140.00	0.00	0.00	0.00	44191180.00	44191076.00	0.00	0.00	
68	49881208.00	0.00	0.00	0.00	44237272.00	44237188.00	0.00	0.00	
69	49977456.00	0.00	0.00	0.00	44225960.00	44225884.00	0.00	0.00	
70	49913768.00	0.00	0.00	0.00	44232728.00	44232680.00	0.00	0.00	
71	53073160.00	0.00	0.00	0.00	37750984.00	37749712.00	0.00	0.00	
72	50641364.00	0.00	0.00	0.00	44000716.00	44000288.00	0.00	0.00	
73	50585356.00	0.00	0.00	0.00	44185276.00	44185000.00	0.00	0.00	
74	50255552.00	0.00	0.00	0.00	44232836.00	44232696.00	0.00	0.00	
75	50234380.00	0.00	0.00	0.00	44229520.00	44229388.00	0.00	0.00	
76	50471488.00	0.00	0.00	0.00	44294036.00	44293948.00	0.00	0.00	
77	50321704.00	0.00	0.00	0.00	44268648.00	44268600.00	0.00	0.00	
78	50413284.00	0.00	0.00	0.00	44280228.00	44280168.00	0.00	0.00	
79	50284296.00	0.00	0.00	0.00	44240948.00	44240900.00	0.00	0.00	
80	50213488.00	0.00	0.00	0.00	44260024.00	44260016.00	0.00	0.00	
81	50315432.00	0.00	0.00	0.00	44277144.00	44277072.00	0.00	0.00	
82	50334984.00	0.00	0.00	0.00	44244424.00	44244376.00	0.00	0.00	
83	50201724.00	0.00	0.00	0.00	44207856.00	44207828.00	0.00	0.00	
84	50216472.00	0.00	0.00	0.00	44246660.00	44246568.00	0.00	0.00	
85	50486140.00	0.00	0.00	0.00	44284280.00	44284216.00	0.00	0.00	
86	50328004.00	0.00	0.00	0.00	44290900.00	44290864.00	0.00	0.00	
87	50217352.00	0.00	0.00	0.00	44265556.00	44265512.00	0.00	0.00	
88	50341032.00	0.00	0.00	0.00	44291192.00	44291164.00	0.00	0.00	
89	50287188.00	0.00	0.00	0.00	44273992.00	44273936.00	0.00	0.00	
90	50232628.00	0.00	0.00	0.00	44261532.00	44261464.00	0.00	0.00	
91	52619148.00	0.00	0.00	0.00	38984284.00	38982868.00	0.00	0.00	
92	50654812.00	0.00	0.00	0.00	44026272.00	44025888.00	0.00	0.00	
93	50703836.00	0.00	0.00	0.00	44180756.00	44180456.00	0.00	0.00	
94	50472324.00	0.00	0.00	0.00	44249600.00	44249448.00	0.00	0.00	
95	50580640.00	0.00	0.00	0.00	44266196.00	44266084.00	0.00	0.00	
96	50555844.00	0.00	0.00	0.00	44277632.00	44277556.00	0.00	0.00	
97	50845812.00	0.00	0.00	0.00	44304296.00	44304216.00	0.00	0.00	
98	50615224.00	0.00	0.00	0.00	44302300.00	44302272.00	0.00	0.00	
99	50540664.00	0.00	0.00	0.00	44286992.00	44286872.00	0.00	0.00	
100	50414220.00	0.00	0.00	0.00	44267552.00	44267488.00	0.00	0.00	
101	50408388.00	0.00	0.00	0.00	44251188.00	44251152.00	0.00	0.00	
102	50524900.00	0.00	0.00	0.00	44272708.00	44272628.00	0.00	0.00	
103	50422780.00	0.00	0.00	0.00	44262356.00	44262324.00	0.00	0.00	
104	50777320.00	0.00	0.00	0.00	44267880.00	44267796.00	0.00	0.00	
105	50573512.00	0.00	0.00	0.00	44246764.00	44246688.00	0.00	0.00	
106	50498872.00	0.00	0.00	0.00	44294508.00	44294396.00	0.00	0.00	
107	50563888.00	0.00	0.00	0.00	44270164.00	44270132.00	0.00	0.00	
108	50484380.00	0.00	0.00	0.00	44265540.00	44265532.00	0.00	0.00	
109	50521928.00	0.00	0.00	0.00	44291728.00	44291636.00	0.00	0.00	
110	50529148.00	0.00	0.00	0.00	44243544.00	44243520.00	0.00	0.00	
