second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	5338762.00	0.00	0.00	0.00	4430283.00	4430304.00	0.00	0.00	
3	5346126.00	0.00	0.00	0.00	4428271.00	4428299.00	0.00	0.00	
4	5324070.00	0.00	0.00	0.00	4430835.00	4430798.00	0.00	0.00	
5	5332318.00	0.00	0.00	0.00	4427351.00	4427375.00	0.00	0.00	
6	5316276.00	0.00	0.00	0.00	4428778.00	4428719.00	0.00	0.00	
7	5316550.00	0.00	0.00	0.00	4427106.00	4427134.00	0.00	0.00	
8	5272484.00	0.00	0.00	0.00	4426295.00	4426279.00	0.00	0.00	
9	5237037.00	0.00	0.00	0.00	4427659.00	4427650.00	0.00	0.00	
10	5235440.00	0.00	0.00	0.00	4434898.00	4434919.00	0.00	0.00	
11	5267947.00	0.00	0.00	0.00	4432854.00	4432831.00	0.00	0.00	
12	5257597.00	0.00	0.00	0.00	4432190.00	4432205.00	0.00	0.00	
13	5247118.00	0.00	0.00	0.00	4431144.00	4431138.00	0.00	0.00	
14	5235548.00	0.00	0.00	0.00	4435121.00	4435131.00	0.00	0.00	
15	5224076.00	0.00	0.00	0.00	4433682.00	4433631.00	0.00	0.00	
16	5227511.00	0.00	0.00	0.00	4431087.00	4431144.00	0.00	0.00	
17	5268211.00	0.00	0.00	0.00	4426448.00	4426459.00	0.00	0.00	
18	5282935.00	0.00	0.00	0.00	4432554.00	4432534.00	0.00	0.00	
19	5242777.00	0.00	0.00	0.00	4431869.00	4431881.00	0.00	0.00	
20	5211628.00	0.00	0.00	0.00	4433702.00	4433700.00	0.00	0.00	
21	5257949.00	0.00	0.00	0.00	4431576.00	4431580.00	0.00	0.00	
22	5859148.00	0.00	0.00	0.00	2364759.00	2364078.00	0.00	0.00	
23	5357634.00	0.00	0.00	0.00	3454641.00	3454557.00	0.00	0.00	
24	5268290.00	0.00	0.00	0.00	3620172.00	3620003.00	0.00	0.00	
25	5245023.00	0.00	0.00	0.00	3690823.00	3690799.00	0.00	0.00	
26	5186287.00	0.00	0.00	0.00	3831203.00	3831111.00	0.00	0.00	
27	5130177.00	0.00	0.00	0.00	3909110.00	3909017.00	0.00	0.00	
28	5175708.00	0.00	0.00	0.00	3916635.00	3916639.00	0.00	0.00	
29	5214002.00	0.00	0.00	0.00	4009559.00	4009443.00	0.00	0.00	
30	5182325.00	0.00	0.00	0.00	4048633.00	4048564.00	0.00	0.00	
31	5162088.00	0.00	0.00	0.00	4041158.00	4041157.00	0.00	0.00	
32	5119970.00	0.00	0.00	0.00	4111199.00	4111107.00	0.00	0.00	
