second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
7	14437729.00	0.00	0.00	0.00	13178089.00	13178089.00	0.00	0.00	
8	40498652.00	0.00	0.00	0.00	36665168.00	36665168.00	0.00	0.00	
9	46384560.00	0.00	0.00	0.00	34296616.00	34296592.00	0.00	0.00	
10	53190880.00	0.00	0.00	0.00	34432016.00	34432032.00	0.00	0.00	
11	45207876.00	0.00	0.00	0.00	32110984.00	32110996.00	0.00	0.00	
12	37305556.00	0.00	0.00	0.00	30304776.00	30304772.00	0.00	0.00	
13	48897784.00	0.00	0.00	0.00	32429074.00	32429078.00	0.00	0.00	
14	50143336.00	0.00	0.00	0.00	28153814.00	28153784.00	0.00	0.00	
15	39995324.00	0.00	0.00	0.00	21133304.00	21133340.00	0.00	0.00	
16	41607484.00	0.00	0.00	0.00	24519760.00	24519752.00	0.00	0.00	
17	39568616.00	0.00	0.00	0.00	29469472.00	29469480.00	0.00	0.00	
18	31010210.00	0.00	0.00	0.00	26811406.00	26811398.00	0.00	0.00	
19	47679540.00	0.00	0.00	0.00	38121352.00	38121312.00	0.00	0.00	
20	48012432.00	0.00	0.00	0.00	40068196.00	40068192.00	0.00	0.00	
21	50089140.00	0.00	0.00	0.00	40255820.00	40255856.00	0.00	0.00	
22	46155508.00	0.00	0.00	0.00	37545408.00	37545408.00	0.00	0.00	
23	35086972.00	0.00	0.00	0.00	31770700.00	31770704.00	0.00	0.00	
24	35765816.00	0.00	0.00	0.00	29354322.00	29354322.00	0.00	0.00	
25	51970536.00	0.00	0.00	0.00	38215840.00	38215840.00	0.00	0.00	
26	42659652.00	0.00	0.00	0.00	35421140.00	35421140.00	0.00	0.00	
27	26188800.00	0.00	0.00	0.00	24628582.00	24628582.00	0.00	0.00	
28	24012800.00	0.00	0.00	0.00	23148116.00	23148116.00	0.00	0.00	
