second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	62218048.00	0.00	0.00	0.00	17938204.00	17938178.00	0.00	0.00	
3	62308920.00	0.00	0.00	0.00	17928896.00	17928930.00	0.00	0.00	
4	62414904.00	0.00	0.00	0.00	17924456.00	17924456.00	0.00	0.00	
5	62775680.00	0.00	0.00	0.00	17919752.00	17919700.00	0.00	0.00	
6	62607908.00	0.00	0.00	0.00	17922568.00	17922588.00	0.00	0.00	
7	62448784.00	0.00	0.00	0.00	17914360.00	17914376.00	0.00	0.00	
8	62576056.00	0.00	0.00	0.00	17918060.00	17918054.00	0.00	0.00	
9	56183920.00	0.00	0.00	0.00	33523476.00	33522286.00	0.00	0.00	
10	53573644.00	0.00	0.00	0.00	41281460.00	41281424.00	0.00	0.00	
11	52845600.00	0.00	0.00	0.00	43077680.00	43077584.00	0.00	0.00	
12	52512512.00	0.00	0.00	0.00	43845568.00	43845540.00	0.00	0.00	
13	52751396.00	0.00	0.00	0.00	43949152.00	43949104.00	0.00	0.00	
14	52538440.00	0.00	0.00	0.00	44048956.00	44048876.00	0.00	0.00	
15	52365216.00	0.00	0.00	0.00	44123408.00	44123380.00	0.00	0.00	
16	52267092.00	0.00	0.00	0.00	44186736.00	44186676.00	0.00	0.00	
17	52177996.00	0.00	0.00	0.00	44253264.00	44253296.00	0.00	0.00	
18	52507840.00	0.00	0.00	0.00	44300696.00	44300660.00	0.00	0.00	
19	52304704.00	0.00	0.00	0.00	44347824.00	44347804.00	0.00	0.00	
20	52358872.00	0.00	0.00	0.00	44365436.00	44365428.00	0.00	0.00	
21	52096600.00	0.00	0.00	0.00	44337452.00	44337444.00	0.00	0.00	
22	52345836.00	0.00	0.00	0.00	44361408.00	44361392.00	0.00	0.00	
23	52241128.00	0.00	0.00	0.00	44361088.00	44361060.00	0.00	0.00	
24	52269528.00	0.00	0.00	0.00	44359360.00	44359376.00	0.00	0.00	
25	52421412.00	0.00	0.00	0.00	44392408.00	44392364.00	0.00	0.00	
26	52355732.00	0.00	0.00	0.00	44386056.00	44386004.00	0.00	0.00	
27	52363648.00	0.00	0.00	0.00	44373128.00	44373156.00	0.00	0.00	
28	52548100.00	0.00	0.00	0.00	44376884.00	44376888.00	0.00	0.00	
29	52239428.00	0.00	0.00	0.00	44379396.00	44379344.00	0.00	0.00	
30	52475628.00	0.00	0.00	0.00	44388488.00	44388484.00	0.00	0.00	
31	52076440.00	0.00	0.00	0.00	44376216.00	44376216.00	0.00	0.00	
32	51059868.00	0.00	0.00	0.00	43767720.00	43767680.00	0.00	0.00	
33	52160000.00	0.00	0.00	0.00	44362864.00	44362876.00	0.00	0.00	
34	52329220.00	0.00	0.00	0.00	44373268.00	44373228.00	0.00	0.00	
35	52400860.00	0.00	0.00	0.00	44360444.00	44360456.00	0.00	0.00	
36	52165572.00	0.00	0.00	0.00	44356848.00	44356800.00	0.00	0.00	
37	52613976.00	0.00	0.00	0.00	44340720.00	44340664.00	0.00	0.00	
38	52294956.00	0.00	0.00	0.00	44367108.00	44367144.00	0.00	0.00	
39	52148832.00	0.00	0.00	0.00	44369944.00	44369892.00	0.00	0.00	
40	52542676.00	0.00	0.00	0.00	44388072.00	44388072.00	0.00	0.00	
41	52286728.00	0.00	0.00	0.00	44374420.00	44374376.00	0.00	0.00	
42	52294952.00	0.00	0.00	0.00	44397160.00	44397160.00	0.00	0.00	
43	52351276.00	0.00	0.00	0.00	44383016.00	44383024.00	0.00	0.00	
44	52263224.00	0.00	0.00	0.00	44374284.00	44374208.00	0.00	0.00	
45	52675928.00	0.00	0.00	0.00	44355492.00	44355456.00	0.00	0.00	
46	52343760.00	0.00	0.00	0.00	44382816.00	44382876.00	0.00	0.00	
47	52411292.00	0.00	0.00	0.00	44379096.00	44379032.00	0.00	0.00	
48	52230248.00	0.00	0.00	0.00	44365984.00	44365964.00	0.00	0.00	
49	52547624.00	0.00	0.00	0.00	44355488.00	44355500.00	0.00	0.00	
50	52609592.00	0.00	0.00	0.00	44374236.00	44374232.00	0.00	0.00	
51	56548680.00	0.00	0.00	0.00	27988580.00	27987554.00	0.00	0.00	
52	50710896.00	0.00	0.00	0.00	42055564.00	42055416.00	0.00	0.00	
53	50108524.00	0.00	0.00	0.00	43827584.00	43827468.00	0.00	0.00	
54	50133992.00	0.00	0.00	0.00	43990264.00	43990248.00	0.00	0.00	
55	49956044.00	0.00	0.00	0.00	44081184.00	44081140.00	0.00	0.00	
56	49978200.00	0.00	0.00	0.00	44171308.00	44171212.00	0.00	0.00	
57	49936480.00	0.00	0.00	0.00	44210796.00	44210792.00	0.00	0.00	
58	49790836.00	0.00	0.00	0.00	44222644.00	44222588.00	0.00	0.00	
59	49847724.00	0.00	0.00	0.00	44273132.00	44273116.00	0.00	0.00	
60	50065272.00	0.00	0.00	0.00	44298560.00	44298548.00	0.00	0.00	
61	50042344.00	0.00	0.00	0.00	44324000.00	44323988.00	0.00	0.00	
62	49914688.00	0.00	0.00	0.00	44312568.00	44312560.00	0.00	0.00	
63	49934664.00	0.00	0.00	0.00	44292936.00	44292904.00	0.00	0.00	
64	50094568.00	0.00	0.00	0.00	44327152.00	44327104.00	0.00	0.00	
65	49826576.00	0.00	0.00	0.00	44308284.00	44308312.00	0.00	0.00	
66	49937032.00	0.00	0.00	0.00	44318632.00	44318600.00	0.00	0.00	
67	49823660.00	0.00	0.00	0.00	44291548.00	44291544.00	0.00	0.00	
68	49857660.00	0.00	0.00	0.00	44290148.00	44290068.00	0.00	0.00	
69	49920512.00	0.00	0.00	0.00	44308096.00	44308140.00	0.00	0.00	
70	49983256.00	0.00	0.00	0.00	44321540.00	44321504.00	0.00	0.00	
71	52484976.00	0.00	0.00	0.00	38249420.00	38248440.00	0.00	0.00	
72	51139380.00	0.00	0.00	0.00	41676596.00	41676356.00	0.00	0.00	
73	50455628.00	0.00	0.00	0.00	43723040.00	43722960.00	0.00	0.00	
74	50453120.00	0.00	0.00	0.00	44015724.00	44015640.00	0.00	0.00	
75	50388988.00	0.00	0.00	0.00	44083252.00	44083200.00	0.00	0.00	
76	50239072.00	0.00	0.00	0.00	44178792.00	44178808.00	0.00	0.00	
77	50431080.00	0.00	0.00	0.00	44254712.00	44254668.00	0.00	0.00	
78	50654304.00	0.00	0.00	0.00	44308172.00	44308096.00	0.00	0.00	
79	50203628.00	0.00	0.00	0.00	44298748.00	44298728.00	0.00	0.00	
80	50239524.00	0.00	0.00	0.00	44325560.00	44325544.00	0.00	0.00	
81	50314028.00	0.00	0.00	0.00	44346180.00	44346116.00	0.00	0.00	
82	50200968.00	0.00	0.00	0.00	44334888.00	44334888.00	0.00	0.00	
83	50396844.00	0.00	0.00	0.00	44341304.00	44341256.00	0.00	0.00	
84	50084948.00	0.00	0.00	0.00	44319292.00	44319304.00	0.00	0.00	
85	50274436.00	0.00	0.00	0.00	44317832.00	44317808.00	0.00	0.00	
86	50381632.00	0.00	0.00	0.00	44363496.00	44363528.00	0.00	0.00	
87	50460048.00	0.00	0.00	0.00	44354632.00	44354620.00	0.00	0.00	
88	50129808.00	0.00	0.00	0.00	44310716.00	44310668.00	0.00	0.00	
89	50194744.00	0.00	0.00	0.00	44333516.00	44333484.00	0.00	0.00	
90	50223176.00	0.00	0.00	0.00	44333960.00	44333968.00	0.00	0.00	
91	52225620.00	0.00	0.00	0.00	39077112.00	39076072.00	0.00	0.00	
92	51226168.00	0.00	0.00	0.00	43271824.00	43271764.00	0.00	0.00	
93	50737464.00	0.00	0.00	0.00	43981396.00	43981284.00	0.00	0.00	
94	50674228.00	0.00	0.00	0.00	44102208.00	44102188.00	0.00	0.00	
95	50632548.00	0.00	0.00	0.00	44165796.00	44165728.00	0.00	0.00	
96	50591816.00	0.00	0.00	0.00	44256528.00	44256536.00	0.00	0.00	
97	50708872.00	0.00	0.00	0.00	44296404.00	44296336.00	0.00	0.00	
98	50253144.00	0.00	0.00	0.00	44269408.00	44269368.00	0.00	0.00	
99	50500012.00	0.00	0.00	0.00	44327488.00	44327480.00	0.00	0.00	
100	50640512.00	0.00	0.00	0.00	44337832.00	44337808.00	0.00	0.00	
101	50288968.00	0.00	0.00	0.00	44308552.00	44308512.00	0.00	0.00	
102	50616684.00	0.00	0.00	0.00	44349224.00	44349208.00	0.00	0.00	
103	50545392.00	0.00	0.00	0.00	44357956.00	44357968.00	0.00	0.00	
104	50450520.00	0.00	0.00	0.00	44343176.00	44343144.00	0.00	0.00	
105	50650424.00	0.00	0.00	0.00	44393640.00	44393612.00	0.00	0.00	
106	50530640.00	0.00	0.00	0.00	44339988.00	44339988.00	0.00	0.00	
107	50607152.00	0.00	0.00	0.00	44343408.00	44343400.00	0.00	0.00	
108	50402904.00	0.00	0.00	0.00	44330264.00	44330172.00	0.00	0.00	
109	50356400.00	0.00	0.00	0.00	44324408.00	44324448.00	0.00	0.00	
110	50507164.00	0.00	0.00	0.00	44375540.00	44375504.00	0.00	0.00	
