second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	8191974.00	0.00	0.00	0.00	4717277.00	4717277.00	0.00	0.00	
3	8192000.00	0.00	0.00	0.00	4728567.00	4728554.00	0.00	0.00	
4	8192000.00	0.00	0.00	0.00	4731890.00	4731894.00	0.00	0.00	
5	8191982.00	0.00	0.00	0.00	4732552.00	4732561.00	0.00	0.00	
6	8192018.00	0.00	0.00	0.00	4730631.00	4730609.00	0.00	0.00	
7	8192000.00	0.00	0.00	0.00	4739230.00	4739252.00	0.00	0.00	
8	8192000.00	0.00	0.00	0.00	4735218.00	4735218.00	0.00	0.00	
9	8192000.00	0.00	0.00	0.00	4738884.00	4738855.00	0.00	0.00	
10	8192000.00	0.00	0.00	0.00	4737773.00	4737801.00	0.00	0.00	
11	8192000.00	0.00	0.00	0.00	4737791.00	4737792.00	0.00	0.00	
12	8192000.00	0.00	0.00	0.00	4739900.00	4739900.00	0.00	0.00	
13	8192000.00	0.00	0.00	0.00	4737597.00	4737597.00	0.00	0.00	
14	8192000.00	0.00	0.00	0.00	4737086.00	4737086.00	0.00	0.00	
15	8192000.00	0.00	0.00	0.00	4741040.00	4741024.00	0.00	0.00	
16	8192000.00	0.00	0.00	0.00	4738329.00	4738339.00	0.00	0.00	
17	8192000.00	0.00	0.00	0.00	4740388.00	4740386.00	0.00	0.00	
18	8192000.00	0.00	0.00	0.00	4742296.00	4742304.00	0.00	0.00	
19	8192000.00	0.00	0.00	0.00	4741871.00	4741871.00	0.00	0.00	
20	8192090.00	0.00	0.00	0.00	4741871.00	4741871.00	0.00	0.00	
21	8192356.00	0.00	0.00	0.00	2840834.00	2840834.00	0.00	0.00	
22	8191844.00	0.00	0.00	0.00	3651975.00	3651975.00	0.00	0.00	
23	8191883.00	0.00	0.00	0.00	3964917.00	3964917.00	0.00	0.00	
24	8191907.00	0.00	0.00	0.00	4160155.00	4160155.00	0.00	0.00	
25	8192051.00	0.00	0.00	0.00	4286210.00	4286210.00	0.00	0.00	
26	8191958.00	0.00	0.00	0.00	4373219.00	4373219.00	0.00	0.00	
27	8192065.00	0.00	0.00	0.00	4442614.00	4442614.00	0.00	0.00	
28	8191876.00	0.00	0.00	0.00	4506518.00	4506518.00	0.00	0.00	
29	8191970.00	0.00	0.00	0.00	4559139.00	4559112.00	0.00	0.00	
30	8192015.00	0.00	0.00	0.00	4604101.00	4604128.00	0.00	0.00	
31	8192011.00	0.00	0.00	0.00	4637027.00	4637027.00	0.00	0.00	
32	8191991.00	0.00	0.00	0.00	4654839.00	4654839.00	0.00	0.00	
33	8191983.00	0.00	0.00	0.00	4667568.00	4667549.00	0.00	0.00	
34	8192000.00	0.00	0.00	0.00	4682026.00	4682045.00	0.00	0.00	
35	8192000.00	0.00	0.00	0.00	4691247.00	4691247.00	0.00	0.00	
36	8189471.00	0.00	0.00	0.00	4694407.00	4694407.00	0.00	0.00	
