second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	5254718.00	0.00	0.00	0.00	4441930.00	4441917.00	0.00	0.00	
3	5253685.00	0.00	0.00	0.00	4439578.00	4439575.00	0.00	0.00	
4	5309290.00	0.00	0.00	0.00	4437731.00	4437726.00	0.00	0.00	
5	5276418.00	0.00	0.00	0.00	4438781.00	4438790.00	0.00	0.00	
6	5324635.00	0.00	0.00	0.00	4438593.00	4438580.00	0.00	0.00	
7	5272823.00	0.00	0.00	0.00	4439428.00	4439434.00	0.00	0.00	
8	5228156.00	0.00	0.00	0.00	4438429.00	4438445.00	0.00	0.00	
9	5210243.00	0.00	0.00	0.00	4441952.00	4441952.00	0.00	0.00	
10	5181488.00	0.00	0.00	0.00	4442624.00	4442599.00	0.00	0.00	
11	5160744.00	0.00	0.00	0.00	4442286.00	4442270.00	0.00	0.00	
12	5184218.00	0.00	0.00	0.00	4440232.00	4440215.00	0.00	0.00	
13	5256168.00	0.00	0.00	0.00	4436904.00	4436928.00	0.00	0.00	
14	5273284.00	0.00	0.00	0.00	4439029.00	4439010.00	0.00	0.00	
15	5332876.00	0.00	0.00	0.00	4439244.00	4439236.00	0.00	0.00	
16	5307288.00	0.00	0.00	0.00	4439401.00	4439391.00	0.00	0.00	
17	5291602.00	0.00	0.00	0.00	4436858.00	4436866.00	0.00	0.00	
18	5272582.00	0.00	0.00	0.00	4439666.00	4439663.00	0.00	0.00	
19	5251581.00	0.00	0.00	0.00	4439556.00	4439530.00	0.00	0.00	
20	5255057.00	0.00	0.00	0.00	4438205.00	4438230.00	0.00	0.00	
21	5218093.00	0.00	0.00	0.00	4440778.00	4440747.00	0.00	0.00	
22	5652532.00	0.00	0.00	0.00	2666738.00	2665882.00	0.00	0.00	
23	5205590.00	0.00	0.00	0.00	3811489.00	3811195.00	0.00	0.00	
24	5151477.00	0.00	0.00	0.00	3992023.00	3991966.00	0.00	0.00	
25	5151328.00	0.00	0.00	0.00	4038854.00	4038778.00	0.00	0.00	
26	5089737.00	0.00	0.00	0.00	4161285.00	4161180.00	0.00	0.00	
27	5057316.00	0.00	0.00	0.00	4242053.00	4241890.00	0.00	0.00	
28	5082840.00	0.00	0.00	0.00	4235142.00	4235133.00	0.00	0.00	
29	5034518.00	0.00	0.00	0.00	4307179.00	4307024.00	0.00	0.00	
30	5064314.00	0.00	0.00	0.00	4359320.00	4359216.00	0.00	0.00	
31	5049833.00	0.00	0.00	0.00	4371115.00	4371015.00	0.00	0.00	
32	5012474.00	0.00	0.00	0.00	4376301.00	4376230.00	0.00	0.00	
33	5013135.00	0.00	0.00	0.00	4387281.00	4387106.00	0.00	0.00	
34	4997564.00	0.00	0.00	0.00	4391795.00	4391754.00	0.00	0.00	
35	5019795.00	0.00	0.00	0.00	4391671.00	4391597.00	0.00	0.00	
36	5023569.00	0.00	0.00	0.00	4397230.00	4397128.00	0.00	0.00	
37	5014356.00	0.00	0.00	0.00	4401013.00	4400956.00	0.00	0.00	
38	4992860.00	0.00	0.00	0.00	4403121.00	4403063.00	0.00	0.00	
39	5005090.00	0.00	0.00	0.00	4406424.00	4406377.00	0.00	0.00	
40	5047873.00	0.00	0.00	0.00	4405909.00	4405872.00	0.00	0.00	
41	5025093.00	0.00	0.00	0.00	4409436.00	4409373.00	0.00	0.00	
42	4970301.00	0.00	0.00	0.00	4408267.00	4408163.00	0.00	0.00	
43	4965497.00	0.00	0.00	0.00	4406806.00	4406762.00	0.00	0.00	
44	4944657.00	0.00	0.00	0.00	4405859.00	4405813.00	0.00	0.00	
45	4969868.00	0.00	0.00	0.00	4409022.00	4408996.00	0.00	0.00	
46	5008152.00	0.00	0.00	0.00	4416109.00	4416055.00	0.00	0.00	
47	5007720.00	0.00	0.00	0.00	4415050.00	4414980.00	0.00	0.00	
48	5002358.00	0.00	0.00	0.00	4414269.00	4414231.00	0.00	0.00	
49	4981025.00	0.00	0.00	0.00	4415859.00	4415740.00	0.00	0.00	
50	4984178.00	0.00	0.00	0.00	4415848.00	4415853.00	0.00	0.00	
51	4999369.00	0.00	0.00	0.00	4418823.00	4418778.00	0.00	0.00	
52	5030096.00	0.00	0.00	0.00	4426482.00	4426424.00	0.00	0.00	
53	5009620.00	0.00	0.00	0.00	4428649.00	4428632.00	0.00	0.00	
54	5002452.00	0.00	0.00	0.00	4424834.00	4424792.00	0.00	0.00	
55	4999983.00	0.00	0.00	0.00	4425214.00	4425230.00	0.00	0.00	
56	4989591.00	0.00	0.00	0.00	4422548.00	4422498.00	0.00	0.00	
57	4975791.00	0.00	0.00	0.00	4419845.00	4419848.00	0.00	0.00	
58	4966091.00	0.00	0.00	0.00	4418420.00	4418391.00	0.00	0.00	
59	4962164.00	0.00	0.00	0.00	4420849.00	4420812.00	0.00	0.00	
