second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	62435396.00	0.00	0.00	0.00	17142248.00	17142228.00	0.00	0.00	
3	62392384.00	0.00	0.00	0.00	17123420.00	17123440.00	0.00	0.00	
4	62844160.00	0.00	0.00	0.00	17110224.00	17110224.00	0.00	0.00	
5	53873992.00	0.00	0.00	0.00	38110744.00	38109436.00	0.00	0.00	
6	52438528.00	0.00	0.00	0.00	42557064.00	42556940.00	0.00	0.00	
7	51955808.00	0.00	0.00	0.00	43794588.00	43794260.00	0.00	0.00	
8	51804380.00	0.00	0.00	0.00	44130328.00	44129872.00	0.00	0.00	
9	51332512.00	0.00	0.00	0.00	44209356.00	44209068.00	0.00	0.00	
10	51657732.00	0.00	0.00	0.00	44268920.00	44268736.00	0.00	0.00	
11	51720432.00	0.00	0.00	0.00	44306064.00	44305964.00	0.00	0.00	
12	51460260.00	0.00	0.00	0.00	44311356.00	44311260.00	0.00	0.00	
13	51647896.00	0.00	0.00	0.00	44344344.00	44344276.00	0.00	0.00	
14	51613440.00	0.00	0.00	0.00	44351096.00	44351064.00	0.00	0.00	
15	51247096.00	0.00	0.00	0.00	44344596.00	44344536.00	0.00	0.00	
16	51922444.00	0.00	0.00	0.00	44354256.00	44354216.00	0.00	0.00	
17	51480344.00	0.00	0.00	0.00	44358484.00	44358456.00	0.00	0.00	
18	51439696.00	0.00	0.00	0.00	44350352.00	44350312.00	0.00	0.00	
19	51565076.00	0.00	0.00	0.00	44345272.00	44345236.00	0.00	0.00	
20	51366596.00	0.00	0.00	0.00	44362848.00	44362792.00	0.00	0.00	
21	51474456.00	0.00	0.00	0.00	44337284.00	44337244.00	0.00	0.00	
22	51407432.00	0.00	0.00	0.00	44351376.00	44351356.00	0.00	0.00	
23	51605568.00	0.00	0.00	0.00	44349300.00	44349264.00	0.00	0.00	
24	51589612.00	0.00	0.00	0.00	44320580.00	44320528.00	0.00	0.00	
25	51495228.00	0.00	0.00	0.00	44335032.00	44335016.00	0.00	0.00	
26	51400072.00	0.00	0.00	0.00	44374300.00	44374264.00	0.00	0.00	
27	51799724.00	0.00	0.00	0.00	44347464.00	44347440.00	0.00	0.00	
28	51591564.00	0.00	0.00	0.00	44357856.00	44357832.00	0.00	0.00	
29	51196688.00	0.00	0.00	0.00	44336444.00	44336408.00	0.00	0.00	
30	51708988.00	0.00	0.00	0.00	44342132.00	44342072.00	0.00	0.00	
31	51518336.00	0.00	0.00	0.00	44348672.00	44348632.00	0.00	0.00	
32	51708648.00	0.00	0.00	0.00	44359356.00	44359348.00	0.00	0.00	
33	51572752.00	0.00	0.00	0.00	44357884.00	44357848.00	0.00	0.00	
34	51556056.00	0.00	0.00	0.00	44337644.00	44337648.00	0.00	0.00	
35	51597440.00	0.00	0.00	0.00	44343016.00	44343000.00	0.00	0.00	
36	51485788.00	0.00	0.00	0.00	44335296.00	44335232.00	0.00	0.00	
37	51549808.00	0.00	0.00	0.00	44352116.00	44352080.00	0.00	0.00	
38	51646568.00	0.00	0.00	0.00	44346412.00	44346356.00	0.00	0.00	
39	51408888.00	0.00	0.00	0.00	44346888.00	44346896.00	0.00	0.00	
40	51727896.00	0.00	0.00	0.00	44363416.00	44363328.00	0.00	0.00	
41	51578096.00	0.00	0.00	0.00	44350712.00	44350664.00	0.00	0.00	
42	51607128.00	0.00	0.00	0.00	44335672.00	44335652.00	0.00	0.00	
43	51821632.00	0.00	0.00	0.00	44318460.00	44318420.00	0.00	0.00	
44	51465072.00	0.00	0.00	0.00	44361820.00	44361788.00	0.00	0.00	
45	51758112.00	0.00	0.00	0.00	44341048.00	44340980.00	0.00	0.00	
46	51423032.00	0.00	0.00	0.00	44345032.00	44344992.00	0.00	0.00	
47	51673936.00	0.00	0.00	0.00	44347364.00	44347344.00	0.00	0.00	
48	51638368.00	0.00	0.00	0.00	44335972.00	44335964.00	0.00	0.00	
49	51468856.00	0.00	0.00	0.00	44293816.00	44293784.00	0.00	0.00	
50	51574180.00	0.00	0.00	0.00	44335936.00	44335868.00	0.00	0.00	
51	52080056.00	0.00	0.00	0.00	36684900.00	36683308.00	0.00	0.00	
52	49718080.00	0.00	0.00	0.00	43213912.00	43213284.00	0.00	0.00	
53	49195244.00	0.00	0.00	0.00	43951888.00	43951444.00	0.00	0.00	
54	49148244.00	0.00	0.00	0.00	44071196.00	44070920.00	0.00	0.00	
55	49258840.00	0.00	0.00	0.00	44136428.00	44136296.00	0.00	0.00	
56	49106064.00	0.00	0.00	0.00	44147256.00	44147124.00	0.00	0.00	
57	49189216.00	0.00	0.00	0.00	44173696.00	44173644.00	0.00	0.00	
58	49228676.00	0.00	0.00	0.00	44192212.00	44192140.00	0.00	0.00	
59	49162488.00	0.00	0.00	0.00	44211428.00	44211384.00	0.00	0.00	
60	49237268.00	0.00	0.00	0.00	44240788.00	44240804.00	0.00	0.00	
61	49299336.00	0.00	0.00	0.00	44232952.00	44232844.00	0.00	0.00	
62	48959760.00	0.00	0.00	0.00	44169256.00	44169272.00	0.00	0.00	
63	49376808.00	0.00	0.00	0.00	44261952.00	44261872.00	0.00	0.00	
64	49093080.00	0.00	0.00	0.00	44189252.00	44189272.00	0.00	0.00	
65	49223692.00	0.00	0.00	0.00	44242668.00	44242592.00	0.00	0.00	
66	49231232.00	0.00	0.00	0.00	44248504.00	44248520.00	0.00	0.00	
67	49087828.00	0.00	0.00	0.00	44187252.00	44187200.00	0.00	0.00	
68	49304560.00	0.00	0.00	0.00	44277920.00	44277884.00	0.00	0.00	
69	49220772.00	0.00	0.00	0.00	44212256.00	44212192.00	0.00	0.00	
70	49017352.00	0.00	0.00	0.00	44196780.00	44196772.00	0.00	0.00	
71	52094176.00	0.00	0.00	0.00	38478052.00	38476540.00	0.00	0.00	
72	49964392.00	0.00	0.00	0.00	43432148.00	43431572.00	0.00	0.00	
73	49690128.00	0.00	0.00	0.00	44054828.00	44054452.00	0.00	0.00	
74	49287160.00	0.00	0.00	0.00	44077252.00	44077104.00	0.00	0.00	
75	49577136.00	0.00	0.00	0.00	44186336.00	44186144.00	0.00	0.00	
76	49517032.00	0.00	0.00	0.00	44193884.00	44193776.00	0.00	0.00	
77	49740300.00	0.00	0.00	0.00	44294852.00	44294832.00	0.00	0.00	
78	49477728.00	0.00	0.00	0.00	44267736.00	44267696.00	0.00	0.00	
79	49498336.00	0.00	0.00	0.00	44257844.00	44257720.00	0.00	0.00	
80	49446936.00	0.00	0.00	0.00	44236884.00	44236868.00	0.00	0.00	
81	49550988.00	0.00	0.00	0.00	44275704.00	44275688.00	0.00	0.00	
82	49292992.00	0.00	0.00	0.00	44197508.00	44197468.00	0.00	0.00	
83	49425764.00	0.00	0.00	0.00	44204564.00	44204488.00	0.00	0.00	
84	49373092.00	0.00	0.00	0.00	44250528.00	44250504.00	0.00	0.00	
85	48659976.00	0.00	0.00	0.00	43968848.00	43968772.00	0.00	0.00	
86	49405848.00	0.00	0.00	0.00	44192760.00	44192736.00	0.00	0.00	
87	49593912.00	0.00	0.00	0.00	44288856.00	44288852.00	0.00	0.00	
88	49340536.00	0.00	0.00	0.00	44245224.00	44245176.00	0.00	0.00	
89	49388264.00	0.00	0.00	0.00	44228396.00	44228400.00	0.00	0.00	
90	49381332.00	0.00	0.00	0.00	44212932.00	44212864.00	0.00	0.00	
91	51447256.00	0.00	0.00	0.00	39383496.00	39381788.00	0.00	0.00	
92	50353404.00	0.00	0.00	0.00	43344752.00	43344184.00	0.00	0.00	
93	49880096.00	0.00	0.00	0.00	44047392.00	44047044.00	0.00	0.00	
94	49760740.00	0.00	0.00	0.00	44144816.00	44144548.00	0.00	0.00	
95	42609068.00	0.00	0.00	0.00	39504744.00	39504592.00	0.00	0.00	
96	49721812.00	0.00	0.00	0.00	44264812.00	44264704.00	0.00	0.00	
97	49686484.00	0.00	0.00	0.00	44252588.00	44252500.00	0.00	0.00	
98	49560816.00	0.00	0.00	0.00	44250304.00	44250276.00	0.00	0.00	
99	49756776.00	0.00	0.00	0.00	44280152.00	44280048.00	0.00	0.00	
100	49791228.00	0.00	0.00	0.00	44295528.00	44295528.00	0.00	0.00	
101	49551480.00	0.00	0.00	0.00	44231380.00	44231344.00	0.00	0.00	
102	49635384.00	0.00	0.00	0.00	44261092.00	44261004.00	0.00	0.00	
103	49646524.00	0.00	0.00	0.00	44286268.00	44286236.00	0.00	0.00	
104	49601576.00	0.00	0.00	0.00	44261144.00	44261104.00	0.00	0.00	
105	49568132.00	0.00	0.00	0.00	44229152.00	44229172.00	0.00	0.00	
106	49556608.00	0.00	0.00	0.00	44258396.00	44258348.00	0.00	0.00	
107	49781888.00	0.00	0.00	0.00	44311508.00	44311408.00	0.00	0.00	
108	49509672.00	0.00	0.00	0.00	44192184.00	44192200.00	0.00	0.00	
109	49560288.00	0.00	0.00	0.00	44215132.00	44215088.00	0.00	0.00	
110	49660416.00	0.00	0.00	0.00	44226112.00	44226080.00	0.00	0.00	
111	52111184.00	0.00	0.00	0.00	38564012.00	38562456.00	0.00	0.00	
112	50035908.00	0.00	0.00	0.00	43464704.00	43464056.00	0.00	0.00	
113	49975292.00	0.00	0.00	0.00	44073452.00	44073152.00	0.00	0.00	
114	49768664.00	0.00	0.00	0.00	44174572.00	44174352.00	0.00	0.00	
115	49826152.00	0.00	0.00	0.00	44199444.00	44199296.00	0.00	0.00	
116	49869688.00	0.00	0.00	0.00	44235708.00	44235628.00	0.00	0.00	
117	49814608.00	0.00	0.00	0.00	44257136.00	44257040.00	0.00	0.00	
118	49850384.00	0.00	0.00	0.00	44281444.00	44281364.00	0.00	0.00	
119	50117400.00	0.00	0.00	0.00	44309264.00	44309164.00	0.00	0.00	
120	49813720.00	0.00	0.00	0.00	44266480.00	44266480.00	0.00	0.00	
