second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	49999744.00	0.00	0.00	0.00	42729652.00	42675820.00	0.00	0.00	
3	49999632.00	0.00	0.00	0.00	44292208.00	44205716.00	0.00	0.00	
4	49999716.00	0.00	0.00	0.00	44921156.00	44809184.00	0.00	0.00	
5	49999360.00	0.00	0.00	0.00	45098136.00	44969912.00	0.00	0.00	
6	50000268.00	0.00	0.00	0.00	45217960.00	45088072.00	0.00	0.00	
7	50000368.00	0.00	0.00	0.00	45195272.00	45072680.00	0.00	0.00	
8	49998284.00	0.00	0.00	0.00	45282576.00	45143060.00	0.00	0.00	
9	49999232.00	0.00	0.00	0.00	45254128.00	45133608.00	0.00	0.00	
10	50000104.00	0.00	0.00	0.00	45275108.00	45133800.00	0.00	0.00	
11	49688208.00	0.00	0.00	0.00	45159916.00	45066868.00	0.00	0.00	
12	49999724.00	0.00	0.00	0.00	45921976.00	45864276.00	0.00	0.00	
13	49485516.00	0.00	0.00	0.00	46011860.00	45949136.00	0.00	0.00	
14	49979984.00	0.00	0.00	0.00	46863344.00	46836360.00	0.00	0.00	
15	49999164.00	0.00	0.00	0.00	47398960.00	47365032.00	0.00	0.00	
16	49999764.00	0.00	0.00	0.00	47778920.00	47740696.00	0.00	0.00	
17	49998536.00	0.00	0.00	0.00	47996784.00	47950528.00	0.00	0.00	
18	49999336.00	0.00	0.00	0.00	48034408.00	47964724.00	0.00	0.00	
19	50000176.00	0.00	0.00	0.00	48038872.00	47973992.00	0.00	0.00	
20	50000472.00	0.00	0.00	0.00	48043248.00	47982724.00	0.00	0.00	
21	50000040.00	0.00	0.00	0.00	48066644.00	47999984.00	0.00	0.00	
22	49998992.00	0.00	0.00	0.00	48061488.00	48001592.00	0.00	0.00	
23	49999152.00	0.00	0.00	0.00	48063300.00	47999224.00	0.00	0.00	
24	50000520.00	0.00	0.00	0.00	48079048.00	48012768.00	0.00	0.00	
25	49998020.00	0.00	0.00	0.00	48066544.00	48010084.00	0.00	0.00	
26	49622192.00	0.00	0.00	0.00	47710808.00	47647384.00	0.00	0.00	
27	49284736.00	0.00	0.00	0.00	47373424.00	47300720.00	0.00	0.00	
28	49285036.00	0.00	0.00	0.00	47349312.00	47287080.00	0.00	0.00	
29	49283252.00	0.00	0.00	0.00	47401344.00	47331088.00	0.00	0.00	
30	49979576.00	0.00	0.00	0.00	47985096.00	47915404.00	0.00	0.00	
31	50001088.00	0.00	0.00	0.00	33389902.00	33359100.00	0.00	0.00	
32	49998024.00	0.00	0.00	0.00	42811408.00	42769592.00	0.00	0.00	
33	49618032.00	0.00	0.00	0.00	44381352.00	44343452.00	0.00	0.00	
34	49993408.00	0.00	0.00	0.00	45723872.00	45685172.00	0.00	0.00	
35	49509824.00	0.00	0.00	0.00	46067416.00	46034860.00	0.00	0.00	
36	49999684.00	0.00	0.00	0.00	46994020.00	46966056.00	0.00	0.00	
37	49122220.00	0.00	0.00	0.00	46716392.00	46689988.00	0.00	0.00	
38	49950948.00	0.00	0.00	0.00	47843988.00	47812792.00	0.00	0.00	
39	49999940.00	0.00	0.00	0.00	48043344.00	47998640.00	0.00	0.00	
40	50000120.00	0.00	0.00	0.00	48086784.00	48039852.00	0.00	0.00	
41	49999680.00	0.00	0.00	0.00	48090172.00	48046508.00	0.00	0.00	
42	49998900.00	0.00	0.00	0.00	48099232.00	48054556.00	0.00	0.00	
43	49998960.00	0.00	0.00	0.00	48111400.00	48064216.00	0.00	0.00	
44	49999428.00	0.00	0.00	0.00	48108220.00	48062784.00	0.00	0.00	
45	49999168.00	0.00	0.00	0.00	48083856.00	48040188.00	0.00	0.00	
46	50000204.00	0.00	0.00	0.00	48122348.00	48073568.00	0.00	0.00	
47	49999776.00	0.00	0.00	0.00	48103208.00	48058328.00	0.00	0.00	
48	50000192.00	0.00	0.00	0.00	48100756.00	48056016.00	0.00	0.00	
49	49999736.00	0.00	0.00	0.00	48117396.00	48068712.00	0.00	0.00	
50	49999924.00	0.00	0.00	0.00	48103272.00	48058944.00	0.00	0.00	
51	50000064.00	0.00	0.00	0.00	48106868.00	48061780.00	0.00	0.00	
52	49999756.00	0.00	0.00	0.00	48119908.00	48071596.00	0.00	0.00	
53	49998744.00	0.00	0.00	0.00	48106580.00	48061744.00	0.00	0.00	
54	49999156.00	0.00	0.00	0.00	48105148.00	48060152.00	0.00	0.00	
55	50000364.00	0.00	0.00	0.00	48116512.00	48067664.00	0.00	0.00	
56	49999352.00	0.00	0.00	0.00	48104316.00	48060472.00	0.00	0.00	
57	49167688.00	0.00	0.00	0.00	47312456.00	47267112.00	0.00	0.00	
58	49981456.00	0.00	0.00	0.00	48083812.00	48031712.00	0.00	0.00	
59	49471760.00	0.00	0.00	0.00	47618280.00	47569924.00	0.00	0.00	
60	49053172.00	0.00	0.00	0.00	47172896.00	47119312.00	0.00	0.00	
61	48850376.00	0.00	0.00	0.00	36238676.00	36223520.00	0.00	0.00	
62	49957468.00	0.00	0.00	0.00	43241140.00	43231320.00	0.00	0.00	
63	49999124.00	0.00	0.00	0.00	45429776.00	45414392.00	0.00	0.00	
64	50000020.00	0.00	0.00	0.00	46609232.00	46589848.00	0.00	0.00	
65	50000224.00	0.00	0.00	0.00	47324920.00	47285216.00	0.00	0.00	
66	49999900.00	0.00	0.00	0.00	47717736.00	47663908.00	0.00	0.00	
67	49998104.00	0.00	0.00	0.00	47857764.00	47803096.00	0.00	0.00	
68	49999960.00	0.00	0.00	0.00	47945660.00	47891472.00	0.00	0.00	
69	49999572.00	0.00	0.00	0.00	47996952.00	47934108.00	0.00	0.00	
70	49999968.00	0.00	0.00	0.00	47988184.00	47929284.00	0.00	0.00	
71	50000432.00	0.00	0.00	0.00	48026596.00	47967876.00	0.00	0.00	
72	49999336.00	0.00	0.00	0.00	48017556.00	47954316.00	0.00	0.00	
73	50000296.00	0.00	0.00	0.00	48009784.00	47952660.00	0.00	0.00	
74	49999912.00	0.00	0.00	0.00	48055184.00	47989968.00	0.00	0.00	
75	49999344.00	0.00	0.00	0.00	48021920.00	47960640.00	0.00	0.00	
76	50000316.00	0.00	0.00	0.00	48041204.00	47980804.00	0.00	0.00	
77	49999520.00	0.00	0.00	0.00	48037500.00	47973352.00	0.00	0.00	
78	50000104.00	0.00	0.00	0.00	48016368.00	47959036.00	0.00	0.00	
79	49998764.00	0.00	0.00	0.00	48063756.00	47996688.00	0.00	0.00	
80	50000648.00	0.00	0.00	0.00	48032184.00	47970228.00	0.00	0.00	
81	49183584.00	0.00	0.00	0.00	47269396.00	47211868.00	0.00	0.00	
82	49981880.00	0.00	0.00	0.00	47971228.00	47920536.00	0.00	0.00	
83	49246172.00	0.00	0.00	0.00	47302692.00	47258368.00	0.00	0.00	
84	48529936.00	0.00	0.00	0.00	46639668.00	46594888.00	0.00	0.00	
85	47533144.00	0.00	0.00	0.00	45612612.00	45574620.00	0.00	0.00	
86	49917420.00	0.00	0.00	0.00	47914424.00	47856112.00	0.00	0.00	
87	50000112.00	0.00	0.00	0.00	47943172.00	47890452.00	0.00	0.00	
88	50000020.00	0.00	0.00	0.00	47940696.00	47887432.00	0.00	0.00	
89	49999256.00	0.00	0.00	0.00	47967700.00	47911856.00	0.00	0.00	
90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
