second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	5252123.00	0.00	0.00	0.00	4462956.00	4463003.00	0.00	0.00	
3	5235194.00	0.00	0.00	0.00	4464093.00	4464095.00	0.00	0.00	
4	5233354.00	0.00	0.00	0.00	4464018.00	4464026.00	0.00	0.00	
5	5220334.00	0.00	0.00	0.00	4461216.00	4461172.00	0.00	0.00	
6	5268896.00	0.00	0.00	0.00	4460750.00	4460752.00	0.00	0.00	
7	5255874.00	0.00	0.00	0.00	4461397.00	4461406.00	0.00	0.00	
8	5240457.00	0.00	0.00	0.00	4464379.00	4464391.00	0.00	0.00	
9	5260161.00	0.00	0.00	0.00	4464182.00	4464182.00	0.00	0.00	
10	5242434.00	0.00	0.00	0.00	4460985.00	4460965.00	0.00	0.00	
11	5224622.00	0.00	0.00	0.00	4465670.00	4465662.00	0.00	0.00	
12	5252750.00	0.00	0.00	0.00	4460744.00	4460714.00	0.00	0.00	
13	5253906.00	0.00	0.00	0.00	4465965.00	4465980.00	0.00	0.00	
14	5248638.00	0.00	0.00	0.00	4460882.00	4460902.00	0.00	0.00	
15	5265153.00	0.00	0.00	0.00	4463745.00	4463677.00	0.00	0.00	
16	5309171.00	0.00	0.00	0.00	4464681.00	4464733.00	0.00	0.00	
17	5289850.00	0.00	0.00	0.00	4463812.00	4463757.00	0.00	0.00	
18	5298903.00	0.00	0.00	0.00	4466180.00	4466188.00	0.00	0.00	
19	5266795.00	0.00	0.00	0.00	4464190.00	4464193.00	0.00	0.00	
20	5256572.00	0.00	0.00	0.00	4463848.00	4463877.00	0.00	0.00	
21	5272630.00	0.00	0.00	0.00	4465921.00	4465930.00	0.00	0.00	
22	5267132.00	0.00	0.00	0.00	4462425.00	4462392.00	0.00	0.00	
23	5266081.00	0.00	0.00	0.00	4461339.00	4461365.00	0.00	0.00	
24	5244034.00	0.00	0.00	0.00	4460516.00	4460504.00	0.00	0.00	
25	5228133.00	0.00	0.00	0.00	4459875.00	4459850.00	0.00	0.00	
26	5223175.00	0.00	0.00	0.00	4458176.00	4458187.00	0.00	0.00	
27	5249765.00	0.00	0.00	0.00	4463197.00	4463222.00	0.00	0.00	
28	5237022.00	0.00	0.00	0.00	4461008.00	4460973.00	0.00	0.00	
29	5259306.00	0.00	0.00	0.00	4463463.00	4463483.00	0.00	0.00	
30	5270672.00	0.00	0.00	0.00	4467983.00	4467930.00	0.00	0.00	
