second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	5256507.00	0.00	0.00	0.00	4396626.00	4396634.00	0.00	0.00	
3	5273495.00	0.00	0.00	0.00	4398468.00	4398475.00	0.00	0.00	
4	5268586.00	0.00	0.00	0.00	4395919.00	4395904.00	0.00	0.00	
5	5242890.00	0.00	0.00	0.00	4398664.00	4398627.00	0.00	0.00	
6	5235604.00	0.00	0.00	0.00	4398182.00	4398211.00	0.00	0.00	
7	5210413.00	0.00	0.00	0.00	4400576.00	4400526.00	0.00	0.00	
8	5236307.00	0.00	0.00	0.00	4401719.00	4401721.00	0.00	0.00	
9	5227157.00	0.00	0.00	0.00	4403140.00	4403162.00	0.00	0.00	
10	5223717.00	0.00	0.00	0.00	4398379.00	4398363.00	0.00	0.00	
11	5231983.00	0.00	0.00	0.00	4399448.00	4399426.00	0.00	0.00	
12	5305506.00	0.00	0.00	0.00	4398479.00	4398437.00	0.00	0.00	
13	5313991.00	0.00	0.00	0.00	4399403.00	4399424.00	0.00	0.00	
14	5266178.00	0.00	0.00	0.00	4399709.00	4399704.00	0.00	0.00	
15	5256098.00	0.00	0.00	0.00	4401344.00	4401312.00	0.00	0.00	
16	5236841.00	0.00	0.00	0.00	4400215.00	4400255.00	0.00	0.00	
17	5220852.00	0.00	0.00	0.00	4399782.00	4399755.00	0.00	0.00	
18	5183002.00	0.00	0.00	0.00	4402944.00	4402946.00	0.00	0.00	
19	5189517.00	0.00	0.00	0.00	4398193.00	4398167.00	0.00	0.00	
20	5178501.00	0.00	0.00	0.00	4399085.00	4399112.00	0.00	0.00	
21	5214229.00	0.00	0.00	0.00	4400094.00	4400066.00	0.00	0.00	
22	6102193.00	0.00	0.00	0.00	1990879.00	1990894.00	0.00	0.00	
23	6119727.00	0.00	0.00	0.00	1977255.00	1977255.00	0.00	0.00	
24	5818489.00	0.00	0.00	0.00	2463190.00	2462833.00	0.00	0.00	
25	5593861.00	0.00	0.00	0.00	2818643.00	2818514.00	0.00	0.00	
26	5504282.00	0.00	0.00	0.00	2945284.00	2945263.00	0.00	0.00	
27	5413750.00	0.00	0.00	0.00	3055358.00	3055288.00	0.00	0.00	
28	5455679.00	0.00	0.00	0.00	3144251.00	3144234.00	0.00	0.00	
29	5427716.00	0.00	0.00	0.00	3204706.00	3204629.00	0.00	0.00	
30	5314280.00	0.00	0.00	0.00	3271321.00	3271317.00	0.00	0.00	
31	5288923.00	0.00	0.00	0.00	3298024.00	3298023.00	0.00	0.00	
32	5355736.00	0.00	0.00	0.00	3336673.00	3336632.00	0.00	0.00	
33	5378782.00	0.00	0.00	0.00	3382463.00	3382422.00	0.00	0.00	
34	5373736.00	0.00	0.00	0.00	3444650.00	3444639.00	0.00	0.00	
35	5318467.00	0.00	0.00	0.00	3473396.00	3473410.00	0.00	0.00	
36	5280077.00	0.00	0.00	0.00	3508881.00	3508824.00	0.00	0.00	
37	5270978.00	0.00	0.00	0.00	3516899.00	3516911.00	0.00	0.00	
38	5322537.00	0.00	0.00	0.00	3533254.00	3533229.00	0.00	0.00	
39	5289916.00	0.00	0.00	0.00	3556183.00	3556192.00	0.00	0.00	
40	5254450.00	0.00	0.00	0.00	3572483.00	3572417.00	0.00	0.00	
41	5290617.00	0.00	0.00	0.00	3590924.00	3590949.00	0.00	0.00	
42	5244957.00	0.00	0.00	0.00	3615071.00	3615030.00	0.00	0.00	
43	5226316.00	0.00	0.00	0.00	3641067.00	3641084.00	0.00	0.00	
44	5247824.00	0.00	0.00	0.00	3656125.00	3656103.00	0.00	0.00	
45	5280088.00	0.00	0.00	0.00	3668666.00	3668672.00	0.00	0.00	
46	5258134.00	0.00	0.00	0.00	3683980.00	3683993.00	0.00	0.00	
47	5253020.00	0.00	0.00	0.00	3690031.00	3690027.00	0.00	0.00	
48	5290860.00	0.00	0.00	0.00	3704562.00	3704559.00	0.00	0.00	
49	5310753.00	0.00	0.00	0.00	3721682.00	3721646.00	0.00	0.00	
50	5294543.00	0.00	0.00	0.00	3734744.00	3734730.00	0.00	0.00	
51	5275583.00	0.00	0.00	0.00	3744871.00	3744845.00	0.00	0.00	
52	5276171.00	0.00	0.00	0.00	3764232.00	3764214.00	0.00	0.00	
53	5209864.00	0.00	0.00	0.00	3792763.00	3792768.00	0.00	0.00	
54	5202114.00	0.00	0.00	0.00	3805905.00	3805898.00	0.00	0.00	
55	5189024.00	0.00	0.00	0.00	3819363.00	3819334.00	0.00	0.00	
56	5174487.00	0.00	0.00	0.00	3824767.00	3824773.00	0.00	0.00	
57	5235688.00	0.00	0.00	0.00	3842894.00	3842851.00	0.00	0.00	
58	5232495.00	0.00	0.00	0.00	3851590.00	3851589.00	0.00	0.00	
59	5221174.00	0.00	0.00	0.00	3860299.00	3860297.00	0.00	0.00	
60	5162555.00	0.00	0.00	0.00	3864874.00	3864869.00	0.00	0.00	
61	5173566.00	0.00	0.00	0.00	3874925.00	3874876.00	0.00	0.00	
62	5175585.00	0.00	0.00	0.00	3886234.00	3886255.00	0.00	0.00	
63	5151072.00	0.00	0.00	0.00	3882792.00	3882775.00	0.00	0.00	
64	5126322.00	0.00	0.00	0.00	3896432.00	3896429.00	0.00	0.00	
65	5172294.00	0.00	0.00	0.00	3900275.00	3900237.00	0.00	0.00	
66	5148853.00	0.00	0.00	0.00	3911347.00	3911375.00	0.00	0.00	
67	5166368.00	0.00	0.00	0.00	3915320.00	3915303.00	0.00	0.00	
68	5210026.00	0.00	0.00	0.00	3924804.00	3924796.00	0.00	0.00	
69	5224853.00	0.00	0.00	0.00	3927441.00	3927449.00	0.00	0.00	
70	5205749.00	0.00	0.00	0.00	3941920.00	3941917.00	0.00	0.00	
71	5175900.00	0.00	0.00	0.00	3939089.00	3939078.00	0.00	0.00	
72	6093687.00	0.00	0.00	0.00	1944677.00	1944677.00	0.00	0.00	
73	6061528.00	0.00	0.00	0.00	1919395.00	1919370.00	0.00	0.00	
74	5909228.00	0.00	0.00	0.00	2097157.00	2096732.00	0.00	0.00	
75	5615744.00	0.00	0.00	0.00	2677367.00	2677278.00	0.00	0.00	
76	5548285.00	0.00	0.00	0.00	2907938.00	2907884.00	0.00	0.00	
77	5547087.00	0.00	0.00	0.00	3005707.00	3005631.00	0.00	0.00	
78	5521231.00	0.00	0.00	0.00	3094049.00	3094059.00	0.00	0.00	
79	5528359.00	0.00	0.00	0.00	3205226.00	3205198.00	0.00	0.00	
80	5533752.00	0.00	0.00	0.00	3248043.00	3248002.00	0.00	0.00	
81	5517271.00	0.00	0.00	0.00	3265653.00	3265643.00	0.00	0.00	
82	5482795.00	0.00	0.00	0.00	3294651.00	3294626.00	0.00	0.00	
83	5439367.00	0.00	0.00	0.00	3341964.00	3341968.00	0.00	0.00	
84	5385308.00	0.00	0.00	0.00	3382747.00	3382728.00	0.00	0.00	
85	5317673.00	0.00	0.00	0.00	3415179.00	3415153.00	0.00	0.00	
86	5363837.00	0.00	0.00	0.00	3433423.00	3433407.00	0.00	0.00	
87	5368720.00	0.00	0.00	0.00	3448890.00	3448887.00	0.00	0.00	
88	5384830.00	0.00	0.00	0.00	3469523.00	3469473.00	0.00	0.00	
89	5353753.00	0.00	0.00	0.00	3497728.00	3497713.00	0.00	0.00	
90	5345416.00	0.00	0.00	0.00	3512250.00	3512288.00	0.00	0.00	
91	5319285.00	0.00	0.00	0.00	3518174.00	3518146.00	0.00	0.00	
92	5349321.00	0.00	0.00	0.00	3547467.00	3547448.00	0.00	0.00	
93	5268502.00	0.00	0.00	0.00	3571382.00	3571388.00	0.00	0.00	
94	5237331.00	0.00	0.00	0.00	3588578.00	3588564.00	0.00	0.00	
95	5237500.00	0.00	0.00	0.00	3600989.00	3600969.00	0.00	0.00	
96	5246676.00	0.00	0.00	0.00	3622763.00	3622753.00	0.00	0.00	
97	5235500.00	0.00	0.00	0.00	3629725.00	3629732.00	0.00	0.00	
98	5218564.00	0.00	0.00	0.00	3644719.00	3644720.00	0.00	0.00	
99	5272862.00	0.00	0.00	0.00	3657946.00	3657920.00	0.00	0.00	
100	5316409.00	0.00	0.00	0.00	3664695.00	3664684.00	0.00	0.00	
101	5331555.00	0.00	0.00	0.00	3676010.00	3676019.00	0.00	0.00	
102	5295385.00	0.00	0.00	0.00	3697838.00	3697789.00	0.00	0.00	
103	5290062.00	0.00	0.00	0.00	3702109.00	3702129.00	0.00	0.00	
104	5260434.00	0.00	0.00	0.00	3717374.00	3717356.00	0.00	0.00	
105	5233158.00	0.00	0.00	0.00	3720990.00	3721003.00	0.00	0.00	
106	5226322.00	0.00	0.00	0.00	3731533.00	3731499.00	0.00	0.00	
