second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	5275367.00	0.00	0.00	0.00	4430379.00	4430455.00	0.00	0.00	
3	5243025.00	0.00	0.00	0.00	4432927.00	4432911.00	0.00	0.00	
4	5189277.00	0.00	0.00	0.00	4415271.00	4415261.00	0.00	0.00	
5	5200981.00	0.00	0.00	0.00	4426542.00	4426517.00	0.00	0.00	
6	5238901.00	0.00	0.00	0.00	4425841.00	4425826.00	0.00	0.00	
7	5261410.00	0.00	0.00	0.00	4428754.00	4428779.00	0.00	0.00	
8	5239409.00	0.00	0.00	0.00	4430632.00	4430648.00	0.00	0.00	
9	5232334.00	0.00	0.00	0.00	4430347.00	4430341.00	0.00	0.00	
10	5209304.00	0.00	0.00	0.00	4431334.00	4431299.00	0.00	0.00	
11	5229342.00	0.00	0.00	0.00	4432659.00	4432680.00	0.00	0.00	
12	5332986.00	0.00	0.00	0.00	4437331.00	4437324.00	0.00	0.00	
13	5317716.00	0.00	0.00	0.00	4434472.00	4434457.00	0.00	0.00	
14	5293149.00	0.00	0.00	0.00	4426676.00	4426633.00	0.00	0.00	
15	5277845.00	0.00	0.00	0.00	4428056.00	4428083.00	0.00	0.00	
16	5265473.00	0.00	0.00	0.00	4429263.00	4429271.00	0.00	0.00	
17	5249008.00	0.00	0.00	0.00	4427866.00	4427873.00	0.00	0.00	
18	5236604.00	0.00	0.00	0.00	4427981.00	4427960.00	0.00	0.00	
19	5228406.00	0.00	0.00	0.00	4431231.00	4431207.00	0.00	0.00	
20	5205747.00	0.00	0.00	0.00	4431670.00	4431598.00	0.00	0.00	
21	5218614.00	0.00	0.00	0.00	4432854.00	4432948.00	0.00	0.00	
22	5226672.00	0.00	0.00	0.00	4430109.00	4430057.00	0.00	0.00	
23	5219644.00	0.00	0.00	0.00	4431060.00	4431089.00	0.00	0.00	
24	5212474.00	0.00	0.00	0.00	4433776.00	4433721.00	0.00	0.00	
25	5201964.00	0.00	0.00	0.00	4430610.00	4430630.00	0.00	0.00	
26	5278396.00	0.00	0.00	0.00	4429564.00	4429553.00	0.00	0.00	
27	5320778.00	0.00	0.00	0.00	4429213.00	4429232.00	0.00	0.00	
