second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
2	32008188.00	18027136.00	8.00	13981046.00	0.00	2.00	32007622.00	13980779.00	0.00	13980754.00	4046124.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	32007656.00	13980779.00	0.00	13980754.00	4046124.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18027138.00	
3	31985118.00	18014108.00	442.00	13970442.00	0.00	129.00	31985304.00	13970747.00	0.00	13970832.00	4043734.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31985316.00	13970747.00	0.00	13970832.00	4043734.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	18014108.00	
4	31997912.00	18021552.00	2740.00	13973580.00	0.00	41.00	31995232.00	13973666.00	0.00	13973663.00	4047939.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31995272.00	13973668.00	0.00	13973663.00	4047940.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	18021556.00	
5	31956644.00	17996604.00	1500.00	13958393.00	0.00	147.00	31954444.00	13958205.00	0.00	13958123.00	4038095.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31954424.00	13958204.00	0.00	13958123.00	4038095.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	17996608.00	
6	31656576.00	17828284.00	4215.00	13823805.00	0.00	274.00	31652818.00	13824034.00	0.00	13824077.00	4004674.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31652790.00	13824034.00	0.00	13824078.00	4004674.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	17828284.00	
7	31630236.00	17816630.00	1704.00	13811770.00	0.00	136.00	31628074.00	13811659.00	0.00	13811619.00	4004816.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31628100.00	13811659.00	0.00	13811620.00	4004816.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	17816632.00	
8	30235448.00	17035580.00	994.00	13198849.00	0.00	27.00	30233816.00	13198503.00	0.00	13198637.00	3836641.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30233784.00	13198506.00	0.00	13198640.00	3836641.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17035576.00	
9	30155624.00	16981760.00	1677.00	13171946.00	0.00	240.00	30154100.00	13172248.00	0.00	13172071.00	3809752.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30154076.00	13172248.00	0.00	13172071.00	3809752.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	16981764.00	
10	30361680.00	17102808.00	21.00	13258841.00	0.00	9.00	30361148.00	13258559.00	0.00	13258632.00	3843968.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30361156.00	13258558.00	0.00	13258632.00	3843968.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17102812.00	
11	31998844.00	18022832.00	601.00	13975225.00	0.00	188.00	31998248.00	13975347.00	0.00	13975314.00	4047622.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31998288.00	13975347.00	0.00	13975317.00	4047623.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	18022832.00	
12	31988184.00	18014582.00	15.00	13973576.00	0.00	11.00	31988600.00	13973781.00	0.00	13973756.00	4041021.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31988558.00	13973782.00	0.00	13973756.00	4041021.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18014582.00	
13	32090084.00	18071608.00	27.00	14018446.00	0.00	6.00	32090008.00	14018421.00	0.00	14018404.00	4053212.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	32090040.00	14018421.00	0.00	14018404.00	4053212.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18071612.00	
14	26490220.00	14400749.00	265554.00	11823504.00	0.00	414.00	26222218.00	11822606.00	0.00	11823798.00	2574971.00	0.00	424.00	0.00	4165314.00	1775562.00	0.00	1775545.00	613785.00	422.00	0.00	0.00	22056486.00	10047044.00	0.00	10048253.00	1961186.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	14400746.00	
