second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
2	15304850.00	8261706.00	495650.00	6236921.00	0.00	310573.00	14217336.00	6235783.00	0.00	6152112.00	1820125.00	0.00	318.00	0.00	7632859.00	3204603.00	0.00	3203694.00	1224248.00	315.00	0.00	0.00	6575479.00	3031180.00	0.00	2948418.00	595878.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	256510.00	8261711.00	
3	16853962.00	9266891.00	542393.00	6731098.00	0.00	313580.00	15714579.00	6729885.00	0.00	6654519.00	2322869.00	0.00	182.00	0.00	8893124.00	3744120.00	0.00	3745280.00	1403542.00	181.00	0.00	0.00	6814331.00	2985765.00	0.00	2909239.00	919326.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	250578.00	9266890.00	
4	17265924.00	9726746.00	559656.00	6690982.00	0.00	288539.00	16142617.00	6691139.00	0.00	6622317.00	2821341.00	0.00	111.00	0.00	9412482.00	3964725.00	0.00	3964605.00	1483041.00	111.00	0.00	0.00	6722427.00	2726415.00	0.00	2657712.00	1338300.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	252951.00	9726746.00	
5	17927932.00	10251180.00	586577.00	6808687.00	0.00	281487.00	16790744.00	6810455.00	0.00	6746778.00	3224825.00	0.00	62.00	0.00	9987274.00	4191774.00	0.00	4190903.00	1604536.00	62.00	0.00	0.00	6794846.00	2618681.00	0.00	2555875.00	1620290.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	251744.00	10251181.00	
6	18697220.00	10828191.00	601335.00	7001038.00	0.00	266657.00	17549868.00	6999055.00	0.00	6941888.00	3599613.00	0.00	97.00	0.00	10644638.00	4469984.00	0.00	4470926.00	1703629.00	97.00	0.00	0.00	6896014.00	2529070.00	0.00	2470962.00	1895982.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	250069.00	10828188.00	
7	19379168.00	11379933.00	632074.00	7109193.00	0.00	257969.00	18219980.00	7109813.00	0.00	7053669.00	4047477.00	0.00	45.00	0.00	11274813.00	4729290.00	0.00	4728682.00	1816797.00	45.00	0.00	0.00	6936190.00	2380522.00	0.00	2324987.00	2230681.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	244406.00	11379934.00	
8	19922246.00	11807594.00	626694.00	7234647.00	0.00	253312.00	18776884.00	7234290.00	0.00	7177378.00	4355242.00	0.00	49.00	0.00	11775949.00	4923371.00	0.00	4923639.00	1928892.00	48.00	0.00	0.00	6991011.00	2310920.00	0.00	2253740.00	2426350.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	230412.00	11807594.00	
9	21288784.00	12803864.00	633637.00	7610836.00	0.00	240449.00	20164792.00	7611425.00	0.00	7555830.00	4983052.00	0.00	64.00	0.00	13066285.00	5441140.00	0.00	5441118.00	2183962.00	64.00	0.00	0.00	7084086.00	2170285.00	0.00	2114711.00	2799090.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	214375.00	12803861.00	
10	22476132.00	13717687.00	629122.00	7905691.00	0.00	223630.00	21377104.00	7905833.00	0.00	7853858.00	5606725.00	0.00	38.00	0.00	14147892.00	5856887.00	0.00	5856491.00	2434476.00	38.00	0.00	0.00	7218562.00	2048946.00	0.00	1997367.00	3172249.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	207213.00	13717687.00	
11	23536036.00	14617578.00	631968.00	8091825.00	0.00	194666.00	22464874.00	8091552.00	0.00	8045098.00	6318972.00	0.00	27.00	0.00	15118957.00	6211289.00	0.00	6211577.00	2696064.00	27.00	0.00	0.00	7336692.00	1880263.00	0.00	1833521.00	3622908.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	204741.00	14617578.00	
12	24595088.00	15475406.00	623643.00	8318326.00	0.00	177712.00	23564988.00	8318092.00	0.00	8273812.00	6959182.00	0.00	43.00	0.00	16055252.00	6568955.00	0.00	6568780.00	2917474.00	43.00	0.00	0.00	7495877.00	1749137.00	0.00	1705032.00	4041708.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	197221.00	15475412.00	
13	25909592.00	16428483.00	597865.00	8716365.00	0.00	166877.00	24930490.00	8716751.00	0.00	8673097.00	7527103.00	0.00	28.00	0.00	17215692.00	7008601.00	0.00	7008335.00	3198729.00	28.00	0.00	0.00	7701287.00	1708151.00	0.00	1664762.00	4328374.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	185660.00	16428486.00	
14	28087874.00	18054436.00	584674.00	9307755.00	0.00	141008.00	27159144.00	9307931.00	0.00	9269599.00	8568305.00	0.00	20.00	0.00	19089508.00	7731680.00	0.00	7731769.00	3626040.00	20.00	0.00	0.00	8056345.00	1576250.00	0.00	1537830.00	4942265.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	179925.00	18054428.00	
15	30727452.00	20032652.00	573581.00	10006666.00	0.00	114549.00	29844848.00	10006379.00	0.00	9973773.00	9851363.00	0.00	17.00	0.00	21303996.00	8585760.00	0.00	8585372.00	4132847.00	17.00	0.00	0.00	8527536.00	1420618.00	0.00	1388402.00	5718516.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	173162.00	20032658.00	
