second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
2	3692651.00	2010825.00	79665.00	1528883.00	0.00	73278.00	3539852.00	1528967.00	0.00	1528686.00	482139.00	0.00	38.00	0.00	1220924.00	395885.00	0.00	395805.00	429235.00	0.00	0.00	0.00	2318907.00	1133083.00	0.00	1132881.00	52905.00	0.00	0.00	0.00	38.00	0.00	0.00	0.00	0.00	0.00	2010834.00	
3	3704509.00	2017604.00	79665.00	1534600.00	0.00	72641.00	3551846.00	1534460.00	0.00	1534588.00	482763.00	0.00	38.00	0.00	1229638.00	400057.00	0.00	400143.00	429438.00	0.00	0.00	0.00	2322210.00	1134403.00	0.00	1134444.00	53325.00	0.00	0.00	0.00	38.00	0.00	0.00	0.00	0.00	0.00	2017601.00	
4	3697230.00	2013011.00	79375.00	1531456.00	0.00	73389.00	3544351.00	1531404.00	0.00	1531334.00	481567.00	0.00	44.00	0.00	1226306.00	399772.00	0.00	399712.00	426822.00	0.00	0.00	0.00	2318044.00	1131632.00	0.00	1131623.00	54745.00	0.00	0.00	0.00	44.00	0.00	0.00	0.00	0.00	0.00	2013019.00	
5	3680165.00	2002231.00	80060.00	1524166.00	0.00	73708.00	3526416.00	1524249.00	0.00	1524158.00	478019.00	0.00	40.00	0.00	1222064.00	398486.00	0.00	398567.00	425011.00	0.00	0.00	0.00	2304402.00	1125763.00	0.00	1125593.00	53008.00	0.00	0.00	0.00	40.00	0.00	0.00	0.00	0.00	0.00	2002234.00	
6	3632517.00	1969792.00	82719.00	1505199.00	0.00	74807.00	3474670.00	1505010.00	0.00	1504979.00	464525.00	0.00	31.00	0.00	1205818.00	396506.00	0.00	396494.00	412818.00	0.00	0.00	0.00	2268727.00	1108504.00	0.00	1108485.00	51707.00	0.00	0.00	0.00	31.00	0.00	0.00	0.00	0.00	1.00	1969791.00	
7	3677654.00	2000068.00	79944.00	1524899.00	0.00	72744.00	3525504.00	1525064.00	0.00	1525116.00	475409.00	0.00	26.00	0.00	1217438.00	396827.00	0.00	396778.00	423833.00	0.00	0.00	0.00	2308179.00	1128238.00	0.00	1128339.00	51576.00	0.00	0.00	0.00	26.00	0.00	0.00	0.00	0.00	0.00	2000083.00	
8	3686908.00	2006309.00	80002.00	1528384.00	0.00	72213.00	3534649.00	1528432.00	0.00	1528415.00	477740.00	0.00	41.00	0.00	1221571.00	398223.00	0.00	398237.00	425111.00	0.00	0.00	0.00	2313058.00	1130210.00	0.00	1130178.00	52629.00	0.00	0.00	0.00	41.00	0.00	0.00	0.00	0.00	1.00	2006307.00	
9	3683576.00	2001884.00	80912.00	1526944.00	0.00	73837.00	3528928.00	1527015.00	0.00	1526881.00	475020.00	0.00	40.00	0.00	1217741.00	397327.00	0.00	397329.00	423085.00	0.00	0.00	0.00	2311215.00	1129688.00	0.00	1129552.00	51935.00	0.00	0.00	0.00	40.00	0.00	0.00	0.00	0.00	1.00	2001888.00	
10	3678315.00	1998805.00	80424.00	1525888.00	0.00	73199.00	3524695.00	1525840.00	0.00	1525849.00	472961.00	0.00	38.00	0.00	1215189.00	397693.00	0.00	397691.00	419805.00	0.00	0.00	0.00	2309500.00	1128147.00	0.00	1128159.00	53156.00	0.00	0.00	0.00	38.00	0.00	0.00	0.00	0.00	0.00	1998810.00	
11	3683252.00	2001014.00	81431.00	1527729.00	0.00	73078.00	3528531.00	1527627.00	0.00	1527687.00	473135.00	0.00	31.00	0.00	1215924.00	397679.00	0.00	397720.00	420525.00	0.00	0.00	0.00	2312556.00	1129948.00	0.00	1129968.00	52610.00	0.00	0.00	0.00	31.00	0.00	0.00	0.00	0.00	1.00	2001017.00	
