second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	90834728.00	0.00	0.00	0.00	27936456.00	27936384.00	0.00	0.00	
3	88260792.00	0.00	0.00	0.00	27529202.00	27529298.00	0.00	0.00	
4	88070528.00	0.00	0.00	0.00	27529100.00	27529104.00	0.00	0.00	
5	88007056.00	0.00	0.00	0.00	27524732.00	27524728.00	0.00	0.00	
6	88444384.00	0.00	0.00	0.00	27519120.00	27519060.00	0.00	0.00	
7	88487448.00	0.00	0.00	0.00	27556170.00	27556210.00	0.00	0.00	
8	88205448.00	0.00	0.00	0.00	27532130.00	27532126.00	0.00	0.00	
9	88613768.00	0.00	0.00	0.00	27555828.00	27555816.00	0.00	0.00	
10	88378496.00	0.00	0.00	0.00	27548820.00	27548828.00	0.00	0.00	
11	88395200.00	0.00	0.00	0.00	27531864.00	27531900.00	0.00	0.00	
12	88274768.00	0.00	0.00	0.00	27573208.00	27573208.00	0.00	0.00	
13	88457728.00	0.00	0.00	0.00	27548100.00	27548100.00	0.00	0.00	
14	88381216.00	0.00	0.00	0.00	27574980.00	27574968.00	0.00	0.00	
15	88167464.00	0.00	0.00	0.00	27552240.00	27552236.00	0.00	0.00	
16	88416288.00	0.00	0.00	0.00	27562290.00	27562288.00	0.00	0.00	
17	88295616.00	0.00	0.00	0.00	27544860.00	27544844.00	0.00	0.00	
18	88448176.00	0.00	0.00	0.00	27581692.00	27581716.00	0.00	0.00	
19	88605792.00	0.00	0.00	0.00	27581584.00	27581564.00	0.00	0.00	
20	88299408.00	0.00	0.00	0.00	27525060.00	27525056.00	0.00	0.00	
21	88536392.00	0.00	0.00	0.00	27450424.00	27450464.00	0.00	0.00	
22	88381720.00	0.00	0.00	0.00	27564706.00	27564674.00	0.00	0.00	
23	88357696.00	0.00	0.00	0.00	27571832.00	27571864.00	0.00	0.00	
24	88302224.00	0.00	0.00	0.00	27595920.00	27595876.00	0.00	0.00	
25	88526808.00	0.00	0.00	0.00	27587460.00	27587422.00	0.00	0.00	
26	88399176.00	0.00	0.00	0.00	27518840.00	27518908.00	0.00	0.00	
27	88639000.00	0.00	0.00	0.00	27578896.00	27578864.00	0.00	0.00	
28	88516056.00	0.00	0.00	0.00	27616014.00	27616044.00	0.00	0.00	
29	88407704.00	0.00	0.00	0.00	27565044.00	27565036.00	0.00	0.00	
30	88662104.00	0.00	0.00	0.00	27544654.00	27544658.00	0.00	0.00	
31	88392480.00	0.00	0.00	0.00	27539120.00	27539136.00	0.00	0.00	
32	88584360.00	0.00	0.00	0.00	27581092.00	27581020.00	0.00	0.00	
33	88675424.00	0.00	0.00	0.00	27577918.00	27577994.00	0.00	0.00	
34	88729880.00	0.00	0.00	0.00	27564112.00	27564104.00	0.00	0.00	
35	88589584.00	0.00	0.00	0.00	27546524.00	27546504.00	0.00	0.00	
36	88325824.00	0.00	0.00	0.00	27540206.00	27540238.00	0.00	0.00	
