hit_rate_ini:	0.145889	miss_ratio_ini:	0.288391
0	37752	0.210856	0.28833	1
1	11948	0.243561	0.28833	1
2	11343	0.26545	0.28833	1
3	32604	0.281917	0.288269	1
4	48194	0.29512	0.288208	1
5	69988	0.306143	0.288147	1
6	20555	0.315604	0.288086	1
8	19237	0.322979	0.288025	1
7	17897	0.331267	0.287964	1
9	12538	0.337909	0.287964	1
12	9019	0.343029	0.287964	1
10	317950	0.349079	0.287903	1
13	28145	0.353841	0.287842	1
11	19076	0.359387	0.287781	1
14	20586	0.363834	0.28772	1
18	15332	0.367351	0.28772	1
15	193157	0.371525	0.287659	1
16	14194	0.375452	0.287659	1
21	13305	0.378492	0.287659	1
17	29334	0.382205	0.287598	1
19	10039	0.385545	0.287598	1
22	21400	0.388457	0.287537	1
20	23508	0.391643	0.287476	1
24	24911	0.394324	0.287415	1
26	14654	0.396806	0.287415	1
29	118441	0.399046	0.287354	1
27	80616	0.401444	0.287292	1
23	16888	0.404234	0.287231	1
25	9081	0.406808	0.287231	1
38	13165	0.408531	0.287231	1
28	15688	0.410843	0.287231	1
32	41197	0.41288	0.28717	1
30	10938	0.415043	0.28717	1
36	54421	0.416862	0.287109	1
31	74209	0.418963	0.287048	1
33	12491	0.420937	0.287048	1
40	68290	0.42258	0.286987	1
48	27074	0.423956	0.286926	1
35	69756	0.425825	0.286865	1
42	54373	0.427393	0.286804	1
43	28121	0.428924	0.286743	1
39	13602	0.430604	0.286743	1
34	4863	0.432513	0.286743	1
52	13371	0.433783	0.286743	1
41	14409	0.435384	0.286743	1
44	580590	0.436883	0.286682	1
45	655030	0.438351	0.286621	1
58	12819	0.439492	0.286621	1
37	4693	0.44125	0.286621	1
62	13690	0.44232	0.286621	1
55	67462	0.443527	0.28656	1
47	11067	0.444927	0.28656	1
57	25393	0.446091	0.286499	1
53	34063	0.447341	0.286438	1
56	17089	0.448524	0.286377	1
46	16045	0.449956	0.286377	1
54	70210	0.451184	0.286316	1
51	14446	0.452479	0.286316	1
118	20006	0.453048	0.286255	1
119	199605	0.453616	0.286194	1
120	20164	0.454175	0.286133	1
130	41616	0.454694	0.286072	1
166	25836	0.455101	0.286011	1
188	19022	0.45546	0.28595	1
150	15939	0.455908	0.28595	1
189	20906	0.456264	0.285889	1
230	42444	0.45656	0.285828	1
246	45082	0.456836	0.285767	1
324	112942	0.457047	0.285706	1
250	70558	0.45732	0.285645	1
411	40180	0.457485	0.285583	1
391	20172	0.457658	0.285522	1
318	48810	0.457872	0.285461	1
341	75466	0.458073	0.2854	1
398	334028	0.458245	0.285339	1
458	23561	0.458393	0.285278	1
368	70718	0.458578	0.285217	1
455	954265	0.45873	0.285156	1
433	75753	0.458888	0.285095	1
580	13162	0.459002	0.285095	1
476	12267	0.459141	0.285095	1
658	543455	0.459246	0.285034	1
463	62300	0.459393	0.284973	1
529	19152	0.45952	0.284912	1
578	648806	0.45964	0.284851	1
496	79908	0.459778	0.28479	1
610	612580	0.459891	0.284729	1
661	621886	0.459996	0.284668	1
572	95638	0.460116	0.284607	1
655	121683	0.460221	0.284546	1
647	15863	0.460323	0.284546	1
810	77173	0.460408	0.284485	1
636	30567	0.460515	0.284424	1
734	49255	0.460607	0.284363	1
660	99763	0.460712	0.284302	1
740	84537	0.460804	0.284241	1
847	24979	0.460884	0.28418	1
749	272101	0.460976	0.284119	1
686	18317	0.461073	0.284058	1
