hit_rate_ini:	0.0278729	miss_ratio_ini:	1
0	46473	0.0928408	0.999939	1
1	42489	0.12555	0.999878	1
2	34238	0.147443	0.999817	1
3	37061	0.16391	0.999756	1
4	33684	0.177113	0.999695	1
5	40374	0.188135	0.999634	1
6	45561	0.197597	0.999573	1
8	48540	0.204975	0.999512	1
7	37231	0.213265	0.999451	1
9	36342	0.219911	0.99939	1
12	38392	0.225037	0.999329	1
10	34000	0.231084	0.999268	1
13	35096	0.235847	0.999207	1
11	48504	0.241396	0.999146	1
14	33597	0.245844	0.999084	1
18	38832	0.249364	0.999023	1
15	35374	0.253537	0.998962	1
16	43171	0.257466	0.998901	1
21	38644	0.26051	0.99884	1
17	37352	0.264224	0.998779	1
19	40325	0.267569	0.998718	1
22	40579	0.270482	0.998657	1
20	39742	0.27367	0.998596	1
24	38094	0.276352	0.998535	1
26	38000	0.278837	0.998474	1
29	41216	0.281075	0.998413	1
27	37801	0.283473	0.998352	1
23	36025	0.286265	0.998291	1
25	39747	0.288845	0.99823	1
38	52508	0.290571	0.998169	1
28	41628	0.292887	0.998108	1
32	54422	0.294924	0.998047	1
30	36151	0.297091	0.997986	1
31	32834	0.299191	0.997925	1
36	32785	0.301009	0.997864	1
33	41177	0.302987	0.997803	1
40	47271	0.30463	0.997742	1
48	51204	0.306007	0.997681	1
35	41185	0.307876	0.99762	1
43	46010	0.309408	0.997559	1
42	35692	0.310975	0.997498	1
39	36163	0.312658	0.997437	1
52	44263	0.313932	0.997375	1
34	45772	0.315854	0.997314	1
41	33154	0.317457	0.997253	1
44	34673	0.318955	0.997192	1
58	35953	0.3201	0.997131	1
62	38974	0.321173	0.99707	1
37	38826	0.322944	0.997009	1
45	43013	0.32441	0.996948	1
47	44477	0.325815	0.996887	1
53	41144	0.327066	0.996826	1
55	35447	0.328272	0.996765	1
54	38895	0.329499	0.996704	1
51	42959	0.330797	0.996643	1
56	54466	0.331983	0.996582	1
46	128383	0.333419	0.996521	1
57	41989	0.334584	0.99646	1
49	39949	0.335933	0.996399	1
50	41411	0.337256	0.996338	1
65	41337	0.338281	0.996277	1
74	49562	0.339184	0.996216	1
103	54823	0.339837	0.996155	1
79	54479	0.340684	0.996094	1
115	45804	0.34127	0.996033	1
97	33778	0.341962	0.995972	1
185	49182	0.342329	0.995911	1
190	53635	0.342686	0.99585	1
124	44220	0.34323	0.995789	1
175	35137	0.343616	0.995728	1
201	36992	0.343954	0.995667	1
191	52520	0.344309	0.995605	1
227	34593	0.344608	0.995544	1
229	38735	0.344904	0.995483	1
314	41114	0.345121	0.995422	1
284	35338	0.34536	0.995361	1
325	36943	0.345569	0.9953	1
297	37669	0.345798	0.995239	1
311	40682	0.346017	0.995178	1
374	36850	0.346199	0.995117	1
317	36976	0.346413	0.995056	1
519	51317	0.346545	0.994995	1
