hit_rate_ini:	0.244347	miss_ratio_ini:	0.171082
0	14648	0.309312	0.171082	1
1	14324	0.342018	0.171082	1
2	12323	0.363908	0.171082	1
3	23030	0.380374	0.171021	1
4	554166	0.393578	0.170959	1
5	18710	0.404598	0.170898	1
6	18235	0.414058	0.170837	1
8	95638	0.421437	0.170776	1
7	12675	0.429723	0.170776	1
9	818848	0.436371	0.170715	1
10	14955	0.442416	0.170715	1
13	13272	0.447175	0.170715	1
11	31839	0.452723	0.170654	1
12	11568	0.457845	0.170654	1
18	14910	0.461361	0.170654	1
14	16368	0.465807	0.170654	1
16	24153	0.469736	0.170593	1
15	11774	0.473905	0.170593	1
21	122879	0.47695	0.170532	1
17	18347	0.480661	0.170471	1
24	19194	0.483341	0.17041	1
26	60225	0.485827	0.170349	1
19	8974	0.489166	0.170349	1
29	15985	0.491402	0.170349	1
22	4634	0.494302	0.170349	1
20	13692	0.497486	0.170349	1
25	15049	0.500063	0.170349	1
23	32802	0.502855	0.170288	1
38	7058	0.504573	0.170288	1
28	92236	0.506889	0.170227	1
27	13340	0.509283	0.170227	1
32	14025	0.511317	0.170227	1
30	5161	0.513472	0.170227	1
36	22082	0.515289	0.170166	1
31	51846	0.51739	0.170105	1
33	11715	0.519363	0.170105	1
43	39451	0.520895	0.170044	1
40	21562	0.522536	0.169983	1
35	6218	0.524395	0.169983	1
48	127665	0.525773	0.169922	1
52	7903	0.52704	0.169922	1
39	27917	0.528722	0.169861	1
42	17950	0.530287	0.1698	1
34	4693	0.532196	0.1698	1
41	8649	0.533793	0.1698	1
62	18904	0.534864	0.169739	1
44	17008	0.53636	0.169678	1
58	12541	0.537501	0.169678	1
37	12282	0.539268	0.169678	1
47	65584	0.540674	0.169617	1
55	8338	0.541874	0.169617	1
53	20235	0.543122	0.169556	1
45	44706	0.544588	0.169495	1
56	27682	0.545772	0.169434	1
57	38567	0.546937	0.169373	1
49	613140	0.548288	0.169312	1
54	86538	0.549517	0.16925	1
50	6883	0.550831	0.16925	1
74	626387	0.551736	0.169189	1
51	78262	0.553035	0.169128	1
46	89325	0.55447	0.169067	1
65	17414	0.555493	0.169006	1
70	107370	0.556447	0.168945	1
72	75069	0.557375	0.168884	1
61	87618	0.558466	0.168823	1
59	17639	0.55959	0.168762	1
69	26555	0.560556	0.168701	1
76	22079	0.561434	0.16864	1
71	43152	0.562374	0.168579	1
67	19596	0.563367	0.168518	1
60	36388	0.564475	0.168457	1
79	58302	0.565322	0.168396	1
68	30657	0.566302	0.168335	1
75	29380	0.567192	0.168274	1
96	22086	0.56789	0.168213	1
86	22874	0.568668	0.168152	1
80	7607	0.569497	0.168152	1
78	115224	0.570355	0.168091	1
63	54252	0.571412	0.16803	1
81	12085	0.572234	0.16803	1
108	12174	0.572853	0.16803	1
92	81175	0.573583	0.167969	1
84	118215	0.574382	0.167908	1
64	53681	0.575422	0.167847	1
82	65432	0.576239	0.167786	1
77	605131	0.577109	0.167725	1
66	86035	0.57812	0.167664	1
111	236484	0.578728	0.167603	1
73	59752	0.579643	0.167542	1
88	585011	0.580406	0.16748	1
95	38943	0.581113	0.167419	1
91	30053	0.581849	0.167358	1
113	107594	0.582446	0.167297	1
175	23876	0.582832	0.167236	1
162	12219	0.583245	0.167236	1
154	41035	0.583685	0.167175	1
247	7939	0.583952	0.167175	1
201	30874	0.584289	0.167114	1
277	54996	0.584535	0.167053	1
241	55123	0.584817	0.166992	1
330	48538	0.585024	0.166931	1
350	284992	0.58522	0.16687	1
309	36808	0.58544	0.166809	1
371	529634	0.585625	0.166748	1
430	117772	0.585785	0.166687	1
358	70209	0.585976	0.166626	1
302	278871	0.586202	0.166565	1
416	41588	0.586366	0.166504	1
384	97162	0.586544	0.166443	1
503	17807	0.586678	0.166382	1
459	11186	0.586821	0.166382	1
403	22976	0.586989	0.166321	1
442	380554	0.587145	0.16626	1
479	71572	0.587288	0.166199	1
470	127284	0.587434	0.166138	1
499	24048	0.587569	0.166077	1
435	6875	0.587717	0.166077	1
478	6875	0.587851	0.166077	1
501	6875	0.587978	0.166077	1
498	6875	0.588107	0.166077	1
480	6875	0.58824	0.166077	1
487	6875	0.588371	0.166077	1
474	6875	0.588507	0.166077	1
4638	6875	0.588511	0.166077	1
7536	6875	0.588511	0.166077	1
7067	6875	0.58851	0.166077	1
6581	6875	0.588511	0.166077	1
5993	6875	0.588512	0.166077	1
7624	16997	0.588517	0.166016	1
6376	75877	0.588528	0.165955	1
6844	622634	0.588538	0.165894	1
7857	20052	0.588543	0.165833	1
7489	83838	0.588552	0.165771	1
5347	125158	0.588564	0.16571	1
8132	283113	0.588573	0.165649	1
6318	22990	0.588581	0.165588	1
12820	807547	0.588587	0.165527	1
7697	77907	0.588595	0.165466	1
7560	81571	0.588603	0.165405	1
8719	292736	0.588611	0.165344	1
20847	339206	0.588614	0.165344	1
6402	116642	0.588625	0.165283	1
8092	50715	0.588632	0.165222	1
8076	17162	0.588637	0.165161	1
9117	888212	0.588645	0.1651	1
8868	567995	0.588653	0.165039	1
8608	641148	0.588661	0.164978	1
10974	96319	0.588666	0.164917	1
11188	53933	0.588671	0.164856	1
9465	26829	0.588676	0.164795	1
9242	313984	0.588684	0.164734	1
9542	127238	0.588691	0.164673	1
10765	18824	0.588693	0.164612	1
11493	73217	0.588699	0.164551	1
9060	37286	0.588705	0.16449	1
10886	618987	0.588711	0.164429	1
9894	111789	0.588718	0.164368	1
7477	556966	0.588727	0.164307	1
6254	648336	0.588738	0.164246	1
7584	76224	0.588747	0.164185	1
11377	95984	0.588752	0.164124	1
6038	65746	0.588763	0.164062	1
9326	19022	0.588767	0.164001	1
13406	16168	0.588767	0.164001	1
13855	42252	0.588771	0.16394	1
7783	13142	0.588775	0.16394	1
9507	11590	0.588776	0.16394	1
6899	635141	0.588786	0.163879	1
9250	57918	0.588793	0.163818	1
8520	12325	0.588795	0.163818	1
7015	87848	0.588804	0.163757	1
6006	68197	0.588815	0.163696	1
8970	24848	0.58882	0.163635	1
8229	33169	0.588827	0.163574	1
9577	118422	0.588833	0.163513	1
9097	13041	0.588836	0.163513	1
9661	4326	0.588827	0.163513	1
8942	76767	0.588834	0.163452	1
10833	19391	0.588837	0.163391	1
9257	5119	0.588831	0.163391	1
7949	299162	0.588839	0.16333	1
11698	21653	0.588842	0.163269	1
12526	75415	0.588847	0.163208	1
15728	278801	0.588851	0.163147	1
13475	17051	0.588852	0.163086	1
8651	12290	0.588855	0.163086	1
9000	20782	0.588859	0.163025	1
11447	75306	0.588864	0.162964	1
10370	9427	0.588864	0.162964	1
6280	22071	0.588872	0.162903	1
9468	36810	0.588877	0.162842	1
11141	83606	0.588883	0.162781	1
9421	10346	0.588883	0.162781	1
13079	17986	0.588885	0.16272	1
7225	66222	0.588894	0.162659	1
6523	535575	0.588904	0.162598	1
6484	112553	0.588915	0.162537	1
6820	68715	0.588924	0.162476	1
7590	15970	0.588929	0.162476	1
6874	101505	0.588939	0.162415	1
7430	115482	0.588947	0.162354	1
5205	14390	0.588956	0.162354	1
6545	73032	0.588966	0.162292	1
24870	96757	0.588968	0.162292	1
9300	13899	0.588971	0.162292	1
6554	616869	0.588981	0.162231	1
11202	72316	0.588987	0.16217	1
5631	16060	0.588995	0.16217	1
9052	273168	0.589002	0.162109	1
9705	13717	0.589004	0.162109	1
15165	96595	0.589008	0.162048	1
7806	23179	0.589014	0.161987	1
12134	31568	0.589018	0.161926	1
10381	48469	0.589023	0.161865	1
13904	89737	0.589028	0.161804	1
10158	634184	0.589035	0.161743	1
8787	70836	0.589042	0.161682	1
12772	70911	0.589046	0.161621	1
6432	38103	0.589055	0.16156	1
15855	24069	0.589057	0.161499	1
9270	30570	0.589062	0.161438	1
6460	21582	0.58907	0.161377	1
7371	7227	0.58907	0.161377	1
8844	27784	0.589075	0.161316	1
11570	18863	0.589078	0.161255	1
10266	25709	0.589082	0.161194	1
12070	31895	0.589085	0.161133	1
7954	34794	0.589092	0.161072	1
9432	454140	0.5891	0.161011	1
10641	41301	0.589105	0.16095	1
13101	27154	0.589107	0.160889	1
11042	76395	0.589113	0.160828	1
6640	74249	0.589123	0.160767	1
10149	12589	0.589124	0.160767	1
12724	19862	0.589126	0.160706	1
8312	6042	0.589123	0.160706	1
9349	72111	0.589129	0.160645	1
15340	9184	0.589126	0.160645	1
10825	88911	0.589132	0.160583	1
8555	120961	0.58914	0.160522	1
10976	26341	0.589143	0.160461	1
7528	68810	0.589152	0.1604	1
10495	906971	0.589159	0.160339	1
12190	888337	0.589164	0.160278	1
12235	6875	0.58916	0.160278	1
14377	6875	0.589154	0.160278	1
15817	6875	0.589149	0.160278	1
12548	6875	0.589144	0.160278	1
12322	6875	0.58914	0.160278	1
10026	6875	0.589136	0.160278	1
13951	6875	0.589131	0.160278	1
15026	6875	0.589126	0.160278	1
8311	6875	0.589124	0.160278	1
11579	6875	0.58912	0.160278	1
11005	6875	0.589116	0.160278	1
7074	6875	0.589115	0.160278	1
10890	271308	0.589122	0.160217	1
11203	652928	0.589128	0.160156	1
7940	113564	0.589136	0.160095	1
5609	567587	0.589149	0.160034	1
12718	596451	0.589154	0.159973	1
13640	48840	0.589158	0.159912	1
9643	128048	0.589165	0.159851	1
13526	545555	0.58917	0.15979	1
9144	547474	0.589178	0.159729	1
10610	541672	0.589184	0.159668	1
9212	95109	0.589191	0.159607	1
10840	91609	0.589197	0.159546	1
9873	603260	0.589204	0.159485	1
10687	109576	0.58921	0.159424	1
6407	60210	0.58922	0.159363	1
9847	127110	0.589227	0.159302	1
8834	81831	0.589234	0.159241	1
10604	67075	0.589239	0.15918	1
