hit_rate_ini:	0.0441542	miss_ratio_ini:	1
0	52851	0.109122	0.999969	1
1	184718	0.141833	0.999939	1
2	151394	0.163728	0.999908	1
3	95849	0.180196	0.999878	1
4	98070	0.1934	0.999847	1
5	50416	0.204423	0.999817	1
6	73886	0.213885	0.999786	1
7	66283	0.222176	0.999756	1
8	78559	0.229554	0.999725	1
9	59348	0.236201	0.999695	1
10	41925	0.242249	0.999664	1
11	95630	0.247799	0.999634	1
14	54437	0.252248	0.999603	1
12	60729	0.257374	0.999573	1
13	107397	0.262138	0.999542	1
15	49715	0.266312	0.999512	1
16	132487	0.270243	0.999481	1
18	68344	0.273763	0.999451	1
19	65888	0.277109	0.99942	1
21	46868	0.280154	0.99939	1
17	74385	0.283868	0.999359	1
22	67282	0.286782	0.999329	1
20	436094	0.289971	0.999298	1
27	47663	0.292368	0.999268	1
38	62729	0.294095	0.999237	1
29	517626	0.296336	0.999207	1
32	92098	0.298374	0.999176	1
33	125799	0.300352	0.999146	1
35	152102	0.302223	0.999115	1
28	109378	0.304539	0.999084	1
23	76385	0.307332	0.999054	1
30	228373	0.309501	0.999023	1
39	60967	0.311185	0.998993	1
31	86576	0.313286	0.998962	1
36	65201	0.315106	0.998932	1
43	52495	0.316638	0.998901	1
26	67280	0.319124	0.998871	1
34	226282	0.321047	0.99884	1
24	97236	0.32373	0.99881	1
25	115886	0.326311	0.998779	1
37	81792	0.328083	0.998749	1
40	62050	0.329726	0.998718	1
41	77876	0.331331	0.998688	1
42	67089	0.332899	0.998657	1
45	47841	0.334365	0.998627	1
44	50565	0.335863	0.998596	1
58	52603	0.337009	0.998566	1
62	69691	0.338083	0.998535	1
52	68488	0.339357	0.998505	1
57	82108	0.340523	0.998474	1
55	56593	0.341729	0.998444	1
61	244085	0.342821	0.998413	1
48	82134	0.344199	0.998383	1
54	99738	0.345428	0.998352	1
59	84834	0.346555	0.998322	1
56	54023	0.34774	0.998291	1
65	57901	0.348766	0.99826	1
53	61936	0.350016	0.99823	1
51	45114	0.351315	0.998199	1
67	76319	0.35231	0.998169	1
68	60522	0.353291	0.998138	1
64	45202	0.354332	0.998108	1
76	66045	0.355212	0.998077	1
60	46714	0.35632	0.998047	1
81	69276	0.357147	0.998016	1
78	78522	0.358005	0.997986	1
84	66508	0.358803	0.997955	1
74	93247	0.359707	0.997925	1
49	445876	0.361058	0.997894	1
79	120571	0.361906	0.997864	1
63	61306	0.362963	0.997833	1
108	65246	0.363587	0.997803	1
47	45845	0.364992	0.997772	1
50	97176	0.366316	0.997742	1
86	170857	0.367097	0.997711	1
66	63048	0.368107	0.997681	1
72	55009	0.369035	0.99765	1
46	144973	0.370471	0.99762	1
75	48516	0.371362	0.997589	1
111	72630	0.371969	0.997559	1
80	50170	0.372806	0.997528	1
137	121138	0.3733	0.997498	1
103	71280	0.373953	0.997467	1
89	283218	0.374708	0.997437	1
82	82894	0.375525	0.997406	1
83	67463	0.376333	0.997375	1
134	66056	0.376837	0.997345	1
77	58578	0.377706	0.997314	1
149	67218	0.37816	0.997284	1
96	61178	0.37886	0.997253	1
87	100379	0.379631	0.997223	1
