hit_rate_ini:	0.0441542	miss_ratio_ini:	1
997955	132487	0.0441537	1	1
997956	68344	0.0441527	1	1
997957	65888	0.0441517	1	1
997958	46868	0.0441502	1	1
997959	74385	0.0441493	1	1
997960	67282	0.0441483	1	1
997961	436094	0.0441482	1	1
997962	47663	0.0441468	1	1
997963	62729	0.0441457	1	1
997965	87856	0.044145	1	1
997966	92098	0.0441442	1	1
997964	125799	0.0441437	1	1
997969	152102	0.0441433	1	1
997967	109378	0.0441427	1	1
997970	48440	0.0441413	1	1
997968	228373	0.0441411	1	1
998086	60967	0.04414	1	1
997972	53323	0.0441387	1	1
997971	41733	0.044137	1	1
997973	181394	0.0441367	1	1
998112	82061	0.0441359	1	1
998122	56871	0.0441347	1	1
998126	277636	0.0441345	1	1
997974	54875	0.0441332	1	1
998123	62859	0.0441322	1	1
998133	56346	0.0441309	1	1
998108	44645	0.0441294	1	1
998121	48130	0.044128	1	1
998148	147589	0.0441276	1	1
998153	72509	0.0441266	1	1
998132	183947	0.0441263	1	1
997975	55109	0.0441251	1	1
998097	162818	0.0441247	1	1
998155	83130	0.0441239	1	1
998165	55567	0.0441227	1	1
998197	84094	0.0441219	1	1
998194	86344	0.0441211	1	1
998198	287618	0.0441209	1	1
998175	61533	0.0441198	1	1
998107	63340	0.0441187	1	1
998192	68658	0.0441178	1	1
997977	48810	0.0441164	1	1
998167	57253	0.0441152	1	1
998158	106149	0.0441145	1	1
998170	208088	0.0441143	1	1
998134	637717	0.0441142	1	1
998152	62060	0.0441131	1	1
998191	306802	0.044113	1	1
998129	138901	0.0441125	1	1
998195	154683	0.0441121	1	1
998166	66683	0.0441111	1	1
997976	73697	0.0441102	1	1
998177	46355	0.0441087	1	1
998188	110184	0.0441081	1	1
998124	55746	0.0441069	1	1
997978	58104	0.0441057	1	1
998140	91262	0.044105	1	1
998176	91032	0.0441043	1	1
998187	321386	0.0441041	1	1
998263	54296	0.0441029	1	1
998201	63400	0.0441018	1	1
998265	81519	0.044101	1	1
998125	65670	0.0440999	1	1
997979	52532	0.0440986	1	1
998294	65701	0.0440976	1	1
998173	83749	0.0440968	1	1
998150	50416	0.0440955	1	1
997982	78559	0.0440946	1	1
998120	49470	0.0440932	1	1
998179	95630	0.0440925	1	1
998289	60542	0.0440914	1	1
998248	83984	0.0440906	1	1
998243	67508	0.0440896	1	1
998196	54267	0.0440883	1	1
998214	59574	0.0440872	1	1
998180	41931	0.0440856	1	1
998135	54591	0.0440843	1	1
998235	42276	0.0440827	1	1
998151	48300	0.0440812	1	1
998258	76385	0.0440804	1	1
998240	73796	0.0440795	1	1
997980	170548	0.0440791	1	1
997981	60350	0.044078	1	1
997983	195963	0.0440777	1	1
997984	75363	0.0440768	1	1
998210	71063	0.0440758	1	1
998141	138723	0.0440754	1	1
998257	157415	0.044075	1	1
998276	61422	0.0440739	1	1
998218	89044	0.0440731	1	1
998261	49023	0.0440717	1	1
998219	68405	0.0440708	1	1
998242	75651	0.0440699	1	1
998246	65941	0.0440688	1	1
998202	474064	0.0440688	1	1
998230	62418	0.0440677	1	1
997990	80465	0.0440668	1	1
997985	54788	0.0440656	1	1
998193	71179	0.0440647	1	1
998199	69937	0.0440637	1	1
998350	44542	0.0440621	1	1
997986	747046	0.0440621	1	1
998178	167756	0.0440618	1	1
998203	76493	0.0440609	1	1
998256	53520	0.0440596	1	1
998224	131630	0.0440591	1	1
998247	51217	0.0440578	1	1
997988	85152	0.044057	1	1
998334	366503	0.0440569	1	1
997994	82872	0.0440561	1	1
998189	105129	0.0440555	1	1
998154	46652	0.044054	1	1
997993	43441	0.0440524	1	1
998213	59078	0.0440512	1	1
998233	42125	0.0440496	1	1
998277	58051	0.0440484	1	1
998184	64079	0.0440474	1	1
998236	56506	0.0440462	1	1
998238	68290	0.0440452	1	1
998215	59865	0.044044	1	1
998229	288650	0.0440438	1	1
998200	104929	0.0440432	1	1
997987	79478	0.0440424	1	1
998254	46638	0.0440409	1	1
998543	335711	0.0440408	1	1
997995	44225	0.0440392	1	1
998262	111035	0.0440386	1	1
998273	73662	0.0440377	1	1
998244	626893	0.0440377	1	1
998162	105112	0.044037	1	1
997989	48737	0.0440356	1	1
997997	49571	0.0440343	1	1
998232	221397	0.044034	1	1
998315	221716	0.0440337	1	1
998249	75432	0.0440328	1	1
998545	50293	0.0440315	1	1
998207	71020	0.0440305	1	1
998282	81380	0.0440297	1	1
998250	52471	0.0440284	1	1
998451	73971	0.0440275	1	1
998300	68061	0.0440265	1	1
997999	81297	0.0440257	1	1
998227	50287	0.0440243	1	1
998174	119940	0.0440238	1	1
998310	1024979	0.0440239	1	1
998465	121309	0.0440233	1	1
998311	47387	0.0440219	1	1
998291	335769	0.0440217	1	1
998275	80928	0.0440209	1	1
998335	101002	0.0440203	1	1
998564	53981	0.044019	1	1
998269	396564	0.0440189	1	1
997991	64992	0.0440178	1	1
997998	64430	0.0440168	1	1
998241	57786	0.0440156	1	1
998497	64819	0.0440146	1	1
998492	53664	0.0440133	1	1
998617	66948	0.0440123	1	1
998264	96836	0.0440116	1	1
997996	47159	0.0440102	1	1
998572	109148	0.0440096	1	1
998284	66200	0.0440085	1	1
998779	128436	0.044008	1	1
998221	77574	0.0440072	1	1
998186	70019	0.0440062	1	1
998171	592033	0.0440062	1	1
998272	52823	0.0440049	1	1
998747	578218	0.0440048	1	1
998237	67341	0.0440038	1	1
998630	93120	0.0440031	1	1
998290	473326	0.044003	1	1
998109	52223	0.0440017	1	1
998260	52456	0.0440004	1	1
998209	223058	0.0440001	1	1
997992	647737	0.0440001	1	1
