second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	5268090.00	0.00	0.00	0.00	4471122.00	4471142.00	0.00	0.00	
3	5246500.00	0.00	0.00	0.00	4475654.00	4475633.00	0.00	0.00	
4	5240403.00	0.00	0.00	0.00	4476474.00	4476496.00	0.00	0.00	
5	5277040.00	0.00	0.00	0.00	4473558.00	4473535.00	0.00	0.00	
6	5297016.00	0.00	0.00	0.00	4474049.00	4474075.00	0.00	0.00	
7	5268543.00	0.00	0.00	0.00	4473558.00	4473538.00	0.00	0.00	
8	5286781.00	0.00	0.00	0.00	4471310.00	4471317.00	0.00	0.00	
9	5295134.00	0.00	0.00	0.00	4474211.00	4474209.00	0.00	0.00	
10	5264857.00	0.00	0.00	0.00	4475746.00	4475695.00	0.00	0.00	
11	5245627.00	0.00	0.00	0.00	4475273.00	4475318.00	0.00	0.00	
12	5249659.00	0.00	0.00	0.00	4474763.00	4474761.00	0.00	0.00	
13	5268068.00	0.00	0.00	0.00	4475903.00	4475882.00	0.00	0.00	
14	5333887.00	0.00	0.00	0.00	4470398.00	4470420.00	0.00	0.00	
15	5304439.00	0.00	0.00	0.00	4471870.00	4471857.00	0.00	0.00	
16	5298919.00	0.00	0.00	0.00	4471271.00	4471252.00	0.00	0.00	
17	5247387.00	0.00	0.00	0.00	4469002.00	4469001.00	0.00	0.00	
18	5225867.00	0.00	0.00	0.00	4474831.00	4474848.00	0.00	0.00	
19	5203131.00	0.00	0.00	0.00	4473374.00	4473354.00	0.00	0.00	
20	5221917.00	0.00	0.00	0.00	4475568.00	4475573.00	0.00	0.00	
21	5242597.00	0.00	0.00	0.00	4477111.00	4477128.00	0.00	0.00	
22	5249153.00	0.00	0.00	0.00	4478639.00	4478576.00	0.00	0.00	
23	5256173.00	0.00	0.00	0.00	4474517.00	4474501.00	0.00	0.00	
24	5285856.00	0.00	0.00	0.00	4469950.00	4470011.00	0.00	0.00	
25	5280168.00	0.00	0.00	0.00	4471347.00	4471324.00	0.00	0.00	
26	5305773.00	0.00	0.00	0.00	4472288.00	4472299.00	0.00	0.00	
27	5306797.00	0.00	0.00	0.00	4472044.00	4471979.00	0.00	0.00	
28	5271866.00	0.00	0.00	0.00	4471080.00	4471162.00	0.00	0.00	
29	5254728.00	0.00	0.00	0.00	4474767.00	4474767.00	0.00	0.00	
30	5265142.00	0.00	0.00	0.00	4473802.00	4473802.00	0.00	0.00	
31	5292032.00	0.00	0.00	0.00	4475925.00	4475894.00	0.00	0.00	
32	5283782.00	0.00	0.00	0.00	4472815.00	4472842.00	0.00	0.00	
33	5273680.00	0.00	0.00	0.00	4475014.00	4474997.00	0.00	0.00	
34	5268464.00	0.00	0.00	0.00	4471939.00	4471949.00	0.00	0.00	
35	5291733.00	0.00	0.00	0.00	4471197.00	4471175.00	0.00	0.00	
36	5271743.00	0.00	0.00	0.00	4471733.00	4471700.00	0.00	0.00	
37	5261200.00	0.00	0.00	0.00	4475064.00	4475106.00	0.00	0.00	
38	5295166.00	0.00	0.00	0.00	4476316.00	4476318.00	0.00	0.00	
39	5312263.00	0.00	0.00	0.00	4475736.00	4475739.00	0.00	0.00	
40	5308130.00	0.00	0.00	0.00	4476145.00	4476145.00	0.00	0.00	
41	5288172.00	0.00	0.00	0.00	4471935.00	4471914.00	0.00	0.00	
42	5277103.00	0.00	0.00	0.00	4468666.00	4468660.00	0.00	0.00	
43	5249229.00	0.00	0.00	0.00	4473339.00	4473338.00	0.00	0.00	
44	5223673.00	0.00	0.00	0.00	4474626.00	4474646.00	0.00	0.00	
