second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	5206414.00	0.00	0.00	0.00	4442767.00	4442808.00	0.00	0.00	
3	5200455.00	0.00	0.00	0.00	4447470.00	4447463.00	0.00	0.00	
4	5245482.00	0.00	0.00	0.00	4441184.00	4441180.00	0.00	0.00	
5	5237731.00	0.00	0.00	0.00	4441189.00	4441178.00	0.00	0.00	
6	5225795.00	0.00	0.00	0.00	4444671.00	4444670.00	0.00	0.00	
7	5244079.00	0.00	0.00	0.00	4443480.00	4443490.00	0.00	0.00	
8	5155122.00	0.00	0.00	0.00	4415774.00	4415792.00	0.00	0.00	
9	5275312.00	0.00	0.00	0.00	4443059.00	4443035.00	0.00	0.00	
10	5271510.00	0.00	0.00	0.00	4448637.00	4448605.00	0.00	0.00	
11	5242453.00	0.00	0.00	0.00	4449427.00	4449480.00	0.00	0.00	
12	5212362.00	0.00	0.00	0.00	4450327.00	4450304.00	0.00	0.00	
13	5253215.00	0.00	0.00	0.00	4450949.00	4450937.00	0.00	0.00	
14	5311625.00	0.00	0.00	0.00	4449419.00	4449441.00	0.00	0.00	
15	5323068.00	0.00	0.00	0.00	4452407.00	4452398.00	0.00	0.00	
16	5313962.00	0.00	0.00	0.00	4451331.00	4451325.00	0.00	0.00	
17	5275046.00	0.00	0.00	0.00	4449916.00	4449920.00	0.00	0.00	
18	5272111.00	0.00	0.00	0.00	4445478.00	4445469.00	0.00	0.00	
19	5207592.00	0.00	0.00	0.00	4441561.00	4441558.00	0.00	0.00	
20	5210694.00	0.00	0.00	0.00	4446212.00	4446202.00	0.00	0.00	
21	5221309.00	0.00	0.00	0.00	4450193.00	4450227.00	0.00	0.00	
22	5719048.00	0.00	0.00	0.00	2446912.00	2446217.00	0.00	0.00	
23	5327726.00	0.00	0.00	0.00	3455001.00	3454849.00	0.00	0.00	
24	5319963.00	0.00	0.00	0.00	3580796.00	3580625.00	0.00	0.00	
