second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	62505100.00	0.00	0.00	0.00	18094956.00	18095022.00	0.00	0.00	
3	62519124.00	0.00	0.00	0.00	18073154.00	18073152.00	0.00	0.00	
4	51386320.00	0.00	0.00	0.00	35286388.00	35285008.00	0.00	0.00	
5	48061440.00	0.00	0.00	0.00	41673896.00	41673784.00	0.00	0.00	
6	48098120.00	0.00	0.00	0.00	41963496.00	41963192.00	0.00	0.00	
7	51669412.00	0.00	0.00	0.00	44085416.00	44085088.00	0.00	0.00	
8	52238520.00	0.00	0.00	0.00	44554732.00	44554500.00	0.00	0.00	
9	52493440.00	0.00	0.00	0.00	44593960.00	44593840.00	0.00	0.00	
10	52410768.00	0.00	0.00	0.00	44586268.00	44586160.00	0.00	0.00	
11	52396368.00	0.00	0.00	0.00	44581736.00	44581640.00	0.00	0.00	
12	52523484.00	0.00	0.00	0.00	44572912.00	44572872.00	0.00	0.00	
13	52393036.00	0.00	0.00	0.00	44580640.00	44580552.00	0.00	0.00	
14	52451604.00	0.00	0.00	0.00	44567720.00	44567712.00	0.00	0.00	
15	52482624.00	0.00	0.00	0.00	44597592.00	44597544.00	0.00	0.00	
16	52003304.00	0.00	0.00	0.00	44597216.00	44597164.00	0.00	0.00	
17	52259708.00	0.00	0.00	0.00	44612252.00	44612180.00	0.00	0.00	
18	52328488.00	0.00	0.00	0.00	44575112.00	44575088.00	0.00	0.00	
19	52536560.00	0.00	0.00	0.00	44612692.00	44612676.00	0.00	0.00	
20	52358004.00	0.00	0.00	0.00	44602220.00	44602128.00	0.00	0.00	
21	52127344.00	0.00	0.00	0.00	44599024.00	44599000.00	0.00	0.00	
22	52170096.00	0.00	0.00	0.00	44607512.00	44607484.00	0.00	0.00	
23	52383584.00	0.00	0.00	0.00	44593820.00	44593748.00	0.00	0.00	
24	52329000.00	0.00	0.00	0.00	44574064.00	44574040.00	0.00	0.00	
25	52113408.00	0.00	0.00	0.00	44580564.00	44580548.00	0.00	0.00	
26	52437480.00	0.00	0.00	0.00	44593308.00	44593256.00	0.00	0.00	
27	52074584.00	0.00	0.00	0.00	44450744.00	44450708.00	0.00	0.00	
28	49767992.00	0.00	0.00	0.00	43408184.00	43408152.00	0.00	0.00	
29	49002936.00	0.00	0.00	0.00	42552096.00	42552064.00	0.00	0.00	
30	50035636.00	0.00	0.00	0.00	43395728.00	43395692.00	0.00	0.00	
31	52028116.00	0.00	0.00	0.00	44400012.00	44399952.00	0.00	0.00	
32	52459384.00	0.00	0.00	0.00	44599720.00	44599712.00	0.00	0.00	
33	52502960.00	0.00	0.00	0.00	44608384.00	44608320.00	0.00	0.00	
34	52484500.00	0.00	0.00	0.00	44606120.00	44606092.00	0.00	0.00	
35	52178184.00	0.00	0.00	0.00	44602224.00	44602180.00	0.00	0.00	
36	52392180.00	0.00	0.00	0.00	44602952.00	44602924.00	0.00	0.00	
37	52537048.00	0.00	0.00	0.00	44575352.00	44575320.00	0.00	0.00	
38	52299000.00	0.00	0.00	0.00	44595764.00	44595736.00	0.00	0.00	
39	52269296.00	0.00	0.00	0.00	44603088.00	44603032.00	0.00	0.00	
40	52355360.00	0.00	0.00	0.00	44583576.00	44583500.00	0.00	0.00	
41	52528712.00	0.00	0.00	0.00	44606268.00	44606296.00	0.00	0.00	
42	52454188.00	0.00	0.00	0.00	44595764.00	44595704.00	0.00	0.00	
43	52270624.00	0.00	0.00	0.00	44556040.00	44556040.00	0.00	0.00	
44	52172732.00	0.00	0.00	0.00	44566000.00	44565944.00	0.00	0.00	
45	52571520.00	0.00	0.00	0.00	44596488.00	44596436.00	0.00	0.00	
46	52337604.00	0.00	0.00	0.00	44608108.00	44608092.00	0.00	0.00	
47	52220316.00	0.00	0.00	0.00	44604052.00	44603996.00	0.00	0.00	
48	52589800.00	0.00	0.00	0.00	44608080.00	44608044.00	0.00	0.00	
49	52297760.00	0.00	0.00	0.00	44604496.00	44604476.00	0.00	0.00	
50	50573576.00	0.00	0.00	0.00	43742688.00	43742672.00	0.00	0.00	
51	50306176.00	0.00	0.00	0.00	40625512.00	40623984.00	0.00	0.00	
52	46625976.00	0.00	0.00	0.00	42170880.00	42170216.00	0.00	0.00	
53	44766228.00	0.00	0.00	0.00	40673360.00	40672936.00	0.00	0.00	
54	44185464.00	0.00	0.00	0.00	40144144.00	40143848.00	0.00	0.00	
55	48937260.00	0.00	0.00	0.00	43791896.00	43791748.00	0.00	0.00	
56	49410784.00	0.00	0.00	0.00	44279800.00	44279696.00	0.00	0.00	
57	49952772.00	0.00	0.00	0.00	44545064.00	44545084.00	0.00	0.00	
58	49914340.00	0.00	0.00	0.00	44551752.00	44551716.00	0.00	0.00	
59	49381300.00	0.00	0.00	0.00	44168676.00	44168644.00	0.00	0.00	
60	48264276.00	0.00	0.00	0.00	43128416.00	43128356.00	0.00	0.00	
61	48241488.00	0.00	0.00	0.00	43114792.00	43114736.00	0.00	0.00	
62	49356688.00	0.00	0.00	0.00	44205352.00	44205320.00	0.00	0.00	
63	50052484.00	0.00	0.00	0.00	44604020.00	44604000.00	0.00	0.00	
64	49805104.00	0.00	0.00	0.00	44531520.00	44531520.00	0.00	0.00	
65	49911056.00	0.00	0.00	0.00	44557080.00	44557060.00	0.00	0.00	
66	49773388.00	0.00	0.00	0.00	44524544.00	44524512.00	0.00	0.00	
67	50323296.00	0.00	0.00	0.00	44610760.00	44610728.00	0.00	0.00	
68	49671728.00	0.00	0.00	0.00	44461728.00	44461672.00	0.00	0.00	
69	49813712.00	0.00	0.00	0.00	44570896.00	44570872.00	0.00	0.00	
70	49998020.00	0.00	0.00	0.00	44596320.00	44596312.00	0.00	0.00	
71	52565732.00	0.00	0.00	0.00	38530616.00	38529064.00	0.00	0.00	
72	50629624.00	0.00	0.00	0.00	44280464.00	44279876.00	0.00	0.00	
73	50330832.00	0.00	0.00	0.00	44440632.00	44440236.00	0.00	0.00	
74	50096400.00	0.00	0.00	0.00	44343900.00	44343696.00	0.00	0.00	
75	49825308.00	0.00	0.00	0.00	44207464.00	44207328.00	0.00	0.00	
76	46865816.00	0.00	0.00	0.00	42457544.00	42457420.00	0.00	0.00	
77	45834024.00	0.00	0.00	0.00	41704344.00	41704340.00	0.00	0.00	
78	44616892.00	0.00	0.00	0.00	40506984.00	40506900.00	0.00	0.00	
79	49341564.00	0.00	0.00	0.00	43911344.00	43911360.00	0.00	0.00	
80	50338000.00	0.00	0.00	0.00	44601716.00	44601632.00	0.00	0.00	
81	50382428.00	0.00	0.00	0.00	44573312.00	44573284.00	0.00	0.00	
82	50257360.00	0.00	0.00	0.00	44578472.00	44578460.00	0.00	0.00	
83	50286472.00	0.00	0.00	0.00	44591168.00	44591140.00	0.00	0.00	
84	50148732.00	0.00	0.00	0.00	44564848.00	44564768.00	0.00	0.00	
85	50222340.00	0.00	0.00	0.00	44594664.00	44594636.00	0.00	0.00	
86	50308336.00	0.00	0.00	0.00	44585104.00	44585056.00	0.00	0.00	
87	50225492.00	0.00	0.00	0.00	44609732.00	44609760.00	0.00	0.00	
