second	tx	tx_get	tx_put	tx_del	rx	rx_getSucc	rx_putSucc	rx_delSucc
2	5178836.00	0.00	0.00	0.00	4386674.00	4386655.00	0.00	0.00	
3	5226636.00	0.00	0.00	0.00	4392072.00	4392059.00	0.00	0.00	
4	5235785.00	0.00	0.00	0.00	4396062.00	4396091.00	0.00	0.00	
5	5268413.00	0.00	0.00	0.00	4397249.00	4397181.00	0.00	0.00	
6	5243905.00	0.00	0.00	0.00	4389040.00	4389033.00	0.00	0.00	
7	5212570.00	0.00	0.00	0.00	4391173.00	4391211.00	0.00	0.00	
8	5178137.00	0.00	0.00	0.00	4388987.00	4388975.00	0.00	0.00	
9	5184264.00	0.00	0.00	0.00	4391357.00	4391371.00	0.00	0.00	
10	5168086.00	0.00	0.00	0.00	4388266.00	4388267.00	0.00	0.00	
11	5166264.00	0.00	0.00	0.00	4396581.00	4396517.00	0.00	0.00	
12	5161875.00	0.00	0.00	0.00	4393374.00	4393452.00	0.00	0.00	
13	5159598.00	0.00	0.00	0.00	4396346.00	4396304.00	0.00	0.00	
14	5200367.00	0.00	0.00	0.00	4390808.00	4390813.00	0.00	0.00	
15	5252426.00	0.00	0.00	0.00	4394385.00	4394417.00	0.00	0.00	
16	5232806.00	0.00	0.00	0.00	4389967.00	4389939.00	0.00	0.00	
17	5221408.00	0.00	0.00	0.00	4392410.00	4392412.00	0.00	0.00	
18	5147151.00	0.00	0.00	0.00	4381198.00	4381213.00	0.00	0.00	
19	5148177.00	0.00	0.00	0.00	4391003.00	4391003.00	0.00	0.00	
20	5166104.00	0.00	0.00	0.00	4396810.00	4396781.00	0.00	0.00	
21	5159324.00	0.00	0.00	0.00	4397083.00	4397093.00	0.00	0.00	
22	6019510.00	0.00	0.00	0.00	2019280.00	2019292.00	0.00	0.00	
23	6058045.00	0.00	0.00	0.00	1961380.00	1961348.00	0.00	0.00	
24	5983168.00	0.00	0.00	0.00	1994741.00	1994770.00	0.00	0.00	
25	5996897.00	0.00	0.00	0.00	1957924.00	1957917.00	0.00	0.00	
26	5958525.00	0.00	0.00	0.00	2039151.00	2039061.00	0.00	0.00	
27	5925949.00	0.00	0.00	0.00	2122002.00	2121998.00	0.00	0.00	
28	5778622.00	0.00	0.00	0.00	2432722.00	2432384.00	0.00	0.00	
29	5580527.00	0.00	0.00	0.00	2855235.00	2855241.00	0.00	0.00	
30	5520835.00	0.00	0.00	0.00	2931100.00	2931051.00	0.00	0.00	
31	5525537.00	0.00	0.00	0.00	3007887.00	3007874.00	0.00	0.00	
32	5506520.00	0.00	0.00	0.00	3053702.00	3053696.00	0.00	0.00	
33	5510353.00	0.00	0.00	0.00	3099495.00	3099488.00	0.00	0.00	
34	5513648.00	0.00	0.00	0.00	3152392.00	3152332.00	0.00	0.00	
35	5447672.00	0.00	0.00	0.00	3215321.00	3215266.00	0.00	0.00	
36	5423997.00	0.00	0.00	0.00	3244218.00	3244222.00	0.00	0.00	
37	5393217.00	0.00	0.00	0.00	3290304.00	3290286.00	0.00	0.00	
38	5380746.00	0.00	0.00	0.00	3289435.00	3289447.00	0.00	0.00	
39	5340110.00	0.00	0.00	0.00	3318077.00	3318061.00	0.00	0.00	
40	5313920.00	0.00	0.00	0.00	3320901.00	3320909.00	0.00	0.00	
41	5321907.00	0.00	0.00	0.00	3363685.00	3363610.00	0.00	0.00	
42	5323842.00	0.00	0.00	0.00	3357193.00	3357245.00	0.00	0.00	
43	5364199.00	0.00	0.00	0.00	3393233.00	3393219.00	0.00	0.00	
44	5375893.00	0.00	0.00	0.00	3385165.00	3385159.00	0.00	0.00	
45	5362450.00	0.00	0.00	0.00	3426930.00	3426921.00	0.00	0.00	
46	5356530.00	0.00	0.00	0.00	3413458.00	3413487.00	0.00	0.00	
47	5331648.00	0.00	0.00	0.00	3455209.00	3455204.00	0.00	0.00	
48	5341689.00	0.00	0.00	0.00	3444310.00	3444276.00	0.00	0.00	
49	5301637.00	0.00	0.00	0.00	3484541.00	3484532.00	0.00	0.00	
50	5298774.00	0.00	0.00	0.00	3460252.00	3460285.00	0.00	0.00	
51	5285198.00	0.00	0.00	0.00	3503742.00	3503721.00	0.00	0.00	
52	5284514.00	0.00	0.00	0.00	3472051.00	3472041.00	0.00	0.00	
53	5225806.00	0.00	0.00	0.00	3516630.00	3516651.00	0.00	0.00	
54	5210330.00	0.00	0.00	0.00	3487070.00	3487049.00	0.00	0.00	
55	5173507.00	0.00	0.00	0.00	3541131.00	3541045.00	0.00	0.00	
56	5251570.00	0.00	0.00	0.00	3507371.00	3507456.00	0.00	0.00	
57	5267711.00	0.00	0.00	0.00	3569502.00	3569499.00	0.00	0.00	
58	5335538.00	0.00	0.00	0.00	3528657.00	3528639.00	0.00	0.00	
59	5304526.00	0.00	0.00	0.00	3593307.00	3593302.00	0.00	0.00	
60	5327665.00	0.00	0.00	0.00	3550962.00	3550949.00	0.00	0.00	
61	5304485.00	0.00	0.00	0.00	3617311.00	3617312.00	0.00	0.00	
62	5283998.00	0.00	0.00	0.00	3564239.00	3564200.00	0.00	0.00	
63	5265385.00	0.00	0.00	0.00	3632234.00	3632246.00	0.00	0.00	
64	5292698.00	0.00	0.00	0.00	3602963.00	3602964.00	0.00	0.00	
65	5237196.00	0.00	0.00	0.00	3678651.00	3678610.00	0.00	0.00	
66	5248012.00	0.00	0.00	0.00	3616988.00	3616997.00	0.00	0.00	
67	5191838.00	0.00	0.00	0.00	3693134.00	3693136.00	0.00	0.00	
